# Average monthly wholesale prices of commodities in Philadelphia, 1770-1790.
# Source: Anne Bezanson, "Prices and Inflation during the American Revolution:
#   Pennsylvania, 1770-1790" (University of Pennsylvania Press, 1951), Appendix
#   Table 1, pp. 332-342. 25 commodities, most years complete Jan-Dec; some
#   commodities begin partway through the series (blank early months in the
#   source, dropped here rather than interpolated).
#
# Transcription method: this table's print quality made cell-by-cell direct
#   transcription unreliable in early attempts this session (see the project's
#   FINDINGS_TRANSCRIPTION.md in the sibling greenbacks/ collection for the
#   general finding). Instead, this file was built from the PDF's own embedded
#   OCR text layer (extracted via pdftotext -layout), which is high-quality for
#   this clean 1951 university-press typeset book, then:
#   (1) parsed with pattern-matching to reassemble OCR-split decimal points,
#   (2) cross-checked against fresh page images at several points (Beef 1770,
#       Coffee 1786, Wheat 1780, and others matched exactly),
#   (3) manually corrected where automated parsing produced an incorrect value
#       that happened to still look well-formed (misplaced decimal points,
#       row mix-ups) - found via decimal-magnitude sanity checks and
#       isolated-spike detection, then re-verified against the actual page
#       for each correction.
#   Two full rows (Beef 1776, 1777) were replaced with values from direct,
#   careful visual transcription against the source image, cross-checked via
#   the two commodities' different decimal-place printing conventions.
#
# Units: shillings per unit (s-) unless a pound (£-) unit is shown for that
#   row/year - several commodities switch from shillings to pounds partway
#   through the war as prices rose, printed as such in the source and
#   preserved here without rescaling. Check the specific year/commodity
#   against the source page if combining series across a currency-unit
#   change.
#
# NOT YET INCLUDED: approximately 130 further commodity-year rows (of ~525
#   possible combinations) where OCR parsing produced ambiguous results not
#   resolved by pattern-matching, mostly concentrated in 1778-1782 (the years
#   with the most complex print layout, including a mid-1781 currency-unit
#   switch printed within the same table) and in secondary/minor commodities
#   with partial-year coverage. See
#   ../working/bezanson_appendix1_staging/PROGRESS.md for the exact list and
#   status.
#
commodity,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
"Flour, Superfine",1771,20.4,20.0,20.5,20.4,20.7,22.3,21.9,21.2,21.6,21.5,21.4,21.2
"Flour, Superfine",1772,21.8,22.2,22.8,23.0,23.2,23.8,23.5,23.5,23.4,23.5,23.4,23.2
"Flour, Superfine",1773,23.5,23.0,22.5,22.2,22.0,21.0,21.2,21.6,22.9,22.8,23.9,22.0
"Flour, Superfine",1775,21.5,21.5,21.5,20.8,18.5,18.5,18.5,18.5,18.5,18.0,18.0,18.0
"Flour, Superfine",1776,18.0,17.8,17.0,15.1,14.5,14.0,13.4,13.9,18.5,21.8,22.5,22.9
"Flour, Superfine",1777,28.0,28.4,29.8,29.3,28.2,30.0,27.8,25.4,23.4,23.1,24.9,25.4
"Flour, Superfine",1779,10.2,13.1,16.0,17.9,23.8,20.0,20.0,20.0,31.5,46.9,67.8,87.8
"Flour, Superfine",1780,81.2,90.0,96.5,94.1,97.9,96.2,98.9,110.0,114.6,106.5,112.9,129.7
"Flour, Superfine",1782,22.6,22.3,22.5,20.5,17.2,17.0,15.5,20.0,20.0,21.2,20.0,21.3
"Flour, Superfine",1783,23.5,21.9,22.9,25.7,25.8,26.2,27.5,27.8,28.6,28.2,28.5,27.2
"Flour, Superfine",1784,28.1,27.1,29.0,26.3,26.7,28.9,28.7,28.6,27.4,26.3,28.6,27.1
"Flour, Superfine",1785,25.7,25.7,25.7,24.6,25.7,25.7,25.1,25.1,24.9,24.9,24.6,24.0
"Flour, Superfine",1786,24.0,24.0,23.7,23.1,22.9,21.6,24.6,24.6,24.3,24.3,24.0,22.9
"Flour, Superfine",1787,22.9,22.9,22.9,22.9,22.9,24.3,24.3,20.9,18.9,18.9,18.0,17.6
"Flour, Superfine",1788,17.4,17.4,20.0,20.6,21.1,21.1,20.0,20.0,20.0,19.7,19.4,20.0
"Flour, Superfine",1789,20.0,19.4,20.0,20.0,22.9,24.3,22.1,23.4,24.3,24.3,22.9,24.3
"Flour, Superfine",1790,25.4,28.7,32.1,33.3,35.7,33.1,31.1,30.6,25.7,24.7,26.3,26.3
Indigo,1771,10.0,10.0,9.25,8.50,10.3,10.5,11.0,11.5,11.3,11.1,10.8,11.5
Indigo,1773,12.5,11.2,10.0,10.0,10.0,10.0,10.0,9.91,10.1,10.0,10.0,10.0
Indigo,1774,12.0,11.1,10.2,10.0,10.0,9.88,9.50,9.00,9.00,10.4,10.0,10.0
Indigo,1775,9.83,9.67,9.50,9.55,9.60,11.7,11.5,11.0,11.0,10.0,11.8,12.0
Indigo,1783,6.62,5.75,5.75,7.00,7.00,7.00,7.00,8.00,8.00,8.00,7.75,7.50
Indigo,1784,7.50,8.25,6.92,6.92,9.00,9.00,11.2,11.2,12.0,12.0,10.0,9.00
Indigo,1786,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
Indigo,1787,6.75,6.75,6.75,6.50,5.25,5.25,5.75,5.75,5.75,6.25,6.75,6.75
Indigo,1788,6.75,6.75,6.00,6.00,6.00,6.00,6.00,6.00,5.38,7.25,7.25,5.75
Indigo,1789,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
"Iron, Bar",1770,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0
"Iron, Bar",1771,23.5,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.3,25.0
"Iron, Bar",1772,25.0,26.0,26.0,26.0,26.5,28.0,28.0,28.0,28.0,28.0,28.0,27.3
"Iron, Bar",1773,28.0,27.0,27.0,26.0,26.0,25.8,25.4,26.0,26.0,27.0,27.0,26.0
"Iron, Bar",1774,25.0,28.0,26.0,26.0,26.0,26.0,26.4,26.0,26.0,26.0,26.0,26.0
"Iron, Bar",1775,26.0,26.0,26.0,25.7,23.9,23.9,24.3,24.2,23.2,24.0,22.5,22.5
"Iron, Bar",1776,26.0,26.5,26.6,26.8,26.0,28.0,26.2,28.8,30.4,30.4,35.8,39.8
"Iron, Bar",1780,2032.4,2001.8,2279.1,2264.0,2482.4,2628.1,2839.5,3079.3,2743.8,2844.8,3015.6,3003.5
"Iron, Bar",1781,2970.1,3376.3,3274.7,3818.0,34.1,34.4,33.9,34.4,33.5,33.0,34.5,42.5
"Iron, Bar",1782,43.5,43.8,45.0,44.6,46.3,45.0,45.0,45.0,45.0,45.6,47.5,45.0
"Iron, Bar",1783,45.0,42.5,42.0,39.7,40.0,35.9,30.6,30.0,33.9,33.6,37.0,37.0
"Iron, Bar",1784,37.5,37.5,37.5,37.5,38.8,40.0,41.5,40.0,41.0,42.0,40.5,39.0
"Iron, Bar",1785,37.5,37.5,36.0,34.0,33.0,30.0,30.0,28.0,29.0,29.0,29.0,29.0
"Iron, Bar",1786,29.0,29.0,27.5,27.5,26.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
"Iron, Bar",1787,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.0,25.0,25.0,25.5,25.5
"Iron, Bar",1788,25.5,25.5,26.0,26.0,26.0,27.0,27.0,26.8,26.5,26.0,26.0,25.5
"Iron, Bar",1789,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.5
"Iron, Bar",1790,27.5,27.5,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,30.0,30.0
"Leather, sole",1770,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"Leather, sole",1771,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33
"Leather, sole",1772,1.33,1.33,1.33,1.25,1.30,1.33,1.33,1.33,1.38,1.33,1.37,1.33
"Leather, sole",1773,1.37,1.42,1.33,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42
"Leather, sole",1774,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.44,1.42,1.42
"Leather, sole",1775,1.38,1.36,1.42,1.50,1.42,1.42,1.42,1.42,1.42,1.50,1.50,1.50
"Leather, sole",1776,1.50,1.50,1.50,1.59,1.53,1.50,1.64,1.94,2.25,2.62,3.0,3.25
"Leather, sole",1782,1.50,1.58,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"Leather, sole",1783,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67
"Leather, sole",1784,1.67,1.63,1.67,1.67,1.67,1.67,1.58,1.67,1.67,1.62,1.58,1.50
"Leather, sole",1785,1.58,1.58,1.25,1.50,1.54,1.54,1.58,1.62,1.62,1.71,1.77,1.69
"Leather, sole",1786,1.58,1.54,1.58,1.50,1.42,1.42,1.42,1.42,1.50,1.62,1.50,1.50
"Leather, sole",1788,1.25,1.17,1.33,1.25,1.25,1.25,1.21,1.19,1.19,1.42,1.42,1.42
"Leather, sole",1789,1.42,1.42,1.17,1.17,1.17,1.17,1.42,1.42,1.42,1.42,1.42,1.42
Molasses,1770,2.00,1.67,1.83,1.76,1.92,1.96,1.83,1.83,1.83,1.88,1.88,1.88
Molasses,1771,1.89,1.83,1.83,1.83,1.78,1.73,1.67,1.69,1.72,1.75,1.78,1.79
Molasses,1772,1.83,1.75,1.71,1.61,1.69,1.75,1.68,1.67,1.67,1.80,1.86,1.95
Molasses,1773,1.83,1.92,1.78,1.67,1.71,1.72,1.72,1.65,1.71,1.78,1.69,1.75
Molasses,1774,1.83,1.79,1.67,1.72,1.83,1.67,1.83,1.67,1.75,1.83,1.85,1.83
Molasses,1775,1.83,1.75,1.80,1.83,1.67,1.68,1.56,1.58,1.75,1.75,1.79,1.79
Molasses,1776,1.93,2.00,2.00,2.56,3.00,4.00,4.25,4.25,4.25,6.50,4.00,4.00
Molasses,1777,4.00,17.0,12.5,15.5,18.5,18.5,24.8,24.5,22.5,22.5,22.5,18.0
Molasses,1778,1.03,1.27,1.29,1.50,1.25,1.00,2.00,1.48,1.46,1.66,1.73,2.29
Molasses,1780,12.0,16.8,28.5,50.0,30.0,30.0,22.5,22.1,21.3,20.9,27.1,26.7
Molasses,1782,7.50,7.50,7.75,8.00,8.00,11.5,11.5,11.0,12.0,7.50,7.50,6.00
Molasses,1783,6.00,5.00,3.25,2.88,3.00,2.12,2.25,2.33,2.36,2.39,2.35,2.46
Molasses,1784,2.40,2.25,1.94,1.90,1.88,2.17,2.25,1.92,2.00,1.88,1.92,1.75
Molasses,1785,1.83,1.75,1.83,1.75,1.75,1.67,1.67,1.67,1.58,1.67,1.67,1.75
Molasses,1786,1.92,2.08,1.75,1.75,1.75,1.79,1.96,1.75,1.75,1.75,1.79,1.92
Molasses,1787,1.92,2.08,2.08,2.08,1.75,2.08,1.83,1.83,1.92,1.79,1.79,1.88
Molasses,1788,1.88,1.88,1.88,1.88,1.88,1.92,1.88,1.81,1.81,1.77,1.77,1.88
Molasses,1789,1.81,1.81,1.81,1.73,2.08,2.08,2.08,2.08,2.00,2.02,2.02,2.33
Molasses,1790,2.17,2.17,2.00,1.94,2.17,2.33,2.13,2.21,2.29,2.54,2.50,2.75
Pepper,1770,3.75,4.33,4.33,4.33,4.33,4.33,5.00,5.00,5.00,4.93,2.53,2.83
Pepper,1771,2.92,3.00,3.00,2.17,2.20,2.25,2.25,2.25,2.31,2.31,2.25,2.17
Pepper,1772,2.08,2.00,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.17,2.25,2.17
Pepper,1773,2.00,2.00,2.17,2.17,2.21,2.18,2.50,2.25,2.17,2.25,2.22,2.21
Pepper,1774,2.33,2.43,2.17,2.25,2.00,2.25,2.50,2.25,2.29,3.06,3.40,3.00
Pepper,1775,2.42,2.42,2.42,2.42,2.42,2.42,2.42,2.42,3.25,3.50,3.75,4.50
Pepper,1776,5.00,5.00,5.00,5.00,6.00,6.25,6.50,6.70,9.00,10.3,11.7,13.0
Pepper,1777,12.5,12.0,16.0,16.0,14.0,12.0,10.0,11.5,10.9,13.5,17.3,17.7
Pepper,1780,15.0,15.0,15.0,15.0,15.0,18.8,20.6,20.6,26.7,32.7,34.0,45.0
Pepper,1782,8.00,7.00,7.00,8.31,8.94,10.0,10.2,9.50,11.2,11.7,12.0,11.7
Pepper,1783,12.0,9.50,7.25,5.50,3.75,2.25,3.17,3.20,3.52,3.75,3.67,3.75
Pepper,1784,3.67,3.33,2.28,2.17,2.15,2.18,2.17,2.25,2.62,2.58,2.50,2.42
Pepper,1785,2.25,2.50,2.50,2.25,2.50,2.75,2.58,2.88,3.50,3.50,4.25,4.50
Pepper,1787,3.00,3.00,3.00,2.67,2.50,2.33,2.33,2.33,2.42,2.42,2.42,2.75
Pepper,1788,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.88,2.88,2.71
Pepper,1789,2.71,2.71,2.71,2.83,2.83,2.83,2.83,2.58,2.58,2.58,2.58,2.58
Pepper,1790,3.17,3.17,3.17,2.50,2.50,2.50,2.67,2.67,2.67,2.67,2.67,2.67
Pork,1770,3.75,3.75,3.81,4.00,4.00,3.94,4.00,4.12,3.92,3.71,3.65,3.58
Pork,1771,3.62,3.62,3.88,4.00,4.00,4.00,4.00,4.10,4.46,4.50,4.00,4.00
Pork,1773,4.25,4.50,4.50,4.50,4.52,4.42,4.28,4.30,4.25,3.71,3.71,3.44
Pork,1774,3.38,3.50,3.50,3.42,4.25,3.32,3.29,3.38,3.62,3.58,3.42,3.04
Pork,1775,3.00,3.00,3.06,3.00,3.00,3.09,3.27,3.94,4.25,4.00,2.88,2.88
Pork,1776,2.97,3.00,3.50,3.93,5.25,6.00,7.50,7.50,7.03,6.56,6.69,5.54
Pork,1777,6.34,6.79,8.90,11.5,11.0,14.0,12.0,13.0,13.1,13.6,14.0,9.96
Pork,1779,38.0,44.0,50.0,63.5,80.0,80.0,70.0,75.0,80.0,80.0,245.0,300.0
Pork,1780,242.5,244.4,400.0,580.0,580.0,500.0,587.5,562.5,550.0,575.0,662.5,750.0
Pork,1782,7.25,6.80,5.50,5.36,5.10,5.50,5.63,6.00,6.00,6.00,6.00,5.50
Pork,1783,5.50,5.00,5.00,3.88,5.63,5.40,5.19,5.33,5.50,5.25,4.88,5
Pork,1784,4.36,4.75,4.50,4.56,4.47,5.46,6.82,6.75,6.25,7.50,6.00,5.00
Pork,1785,5.25,5.00,5.25,5.00,5.25,5.50,6.00,6.00,6.38,5.75,5.75,4.38
Pork,1787,4.50,4.25,4.50,4.50,4.50,4.50,4.50,4.62,4.75,4.75,4.50,4.00
Pork,1788,4.00,4.00,3.44,3.62,3.68,3.68,3.68,3.81,3.81,3.81,3.81,3.75
Pork,1789,3.75,3.75,3.53,3.53,3.53,3.67,3.67,3.53,3.53,3.53,3.53,3.53
Rice,1770,18.0,17.5,17.5,17.0,16.5,16.0,15.0,15.0,15.2,16.0,15.7,16.0
Rice,1771,16.0,16.0,16.0,16.0,15.0,16.3,17.5,17.0,17.5,17.5,18.0,19.5
Rice,1772,20.0,20.0,21.0,23.0,25.0,24.0,26.3,27.0,24.0,24.0,24.0,22.3
Rice,1773,19.0,18.0,18.0,17.5,18.0,18.2,19.0,18.0,18.2,18.5,18.5,19.0
Rice,1774,18.4,22.0,17.5,17.5,17.0,17.2,16.5,17.9,17.0,16.0,16.0,16.0
Rice,1775,16.0,16.0,15.5,14.5,14.2,15.0,17.1,17.8,20.0,20.5,21.0,21.0
Rice,1780,66.8,103.4,140.0,140.0,162.5,185.0,180.0,180.0,168.0,180.0,200.0,210.0
Rice,1784,31.2,31.2,35.0,35.0,29.0,32.5,33.5,32.5,35.0,32.5,32.5,32.5
Rice,1785,32.5,30.0,27.0,27.0,26.0,27.5,26.0,26.0,25.0,26.0,27.5,27.5
Rice,1786,27.5,27.5,23.0,22.5,21.5,22.5,27.5,27.5,26.0,26.0,26.0,26.0
Rice,1787,26.0,26.0,25.5,25.5,25.5,25.5,26.0,25.0,25.0,23.5,23.5,23.5
Rice,1788,23.5,23.5,22.8,22.8,21.2,22.2,23.2,22.5,22.5,22.8,24.0,24.5
Rice,1789,24.5,24.0,24.0,20.0,20.0,19.0,19.0,19.0,19.0,19.5,19.5,22.5
"Rum, W.I.",1770,3.38,3.08,3.06,2.83,2.96,3.04,2.92,3.00,3.00,2.96,2.91,2.98
"Rum, W.I.",1771,2.97,3.00,3.17,3.17,2.97,3.07,3.04,3.28,3.56,3.67,3.85,4
"Rum, W.I.",1772,4.25,4.10,3.79,3.15,3.04,3.18,3.12,3.19,3.32,3.61,3.78,3.62
"Rum, W.I.",1773,3.33,3.50,3.42,3.25,3.33,3.30,3.19,3.19,3.13,3.14,3.08,3.08
"Rum, W.I.",1774,3.33,3.17,3.08,3.00,3.08,3.25,3.25,2.83,2.71,2.83,3.00,3.14
"Rum, W.I.",1775,3.17,3.08,3.13,3.08,2.83,2.99,2.97,2.96,2.92,3.08,3.08,3.25
"Rum, W.I.",1776,3.88,3.95,4.50,6.00,5.31,5.81,5.44,5.50,7.00,8.00,8.00,17.0
"Rum, W.I.",1777,18.0,27.5,21.4,29.5,38.2,40.8,40.0,46.7,50.0,50.0,50.0,58.4
"Rum, W.I.",1778,3.34,4.00,3.66,3.32,3.24,3.25,4.33,3.20,3.32,3.09,3.68,4.30
"Rum, W.I.",1780,26.0,31.8,46.2,55.0,55.0,35.9,33.4,28.9,28.0,22.5,22.2,35.5
"Rum, W.I.",1782,11.9,10.8,14.0,12.0,11.8,11.8,14.0,12.0,11.7,11.8,11.9,11.5
"Rum, W.I.",1783,9.50,8.00,5.75,5.00,5.00,4.38,4.75,5.00,5.00,5.00,5.00,5.06
"Rum, W.I.",1786,3.38,3.38,3.38,3.38,3.38,3.38,3.38,3.33,3.33,3.33,3.33,3.33
"Rum, W.I.",1787,3.33,3.63,3.63,3.63,3.25,3.38,3.25,3.17,3.17,3.17,3.17,3.17
"Rum, W.I.",1788,3.17,3.17,3.25,3.25,3.25,3.25,3.25,2.92,2.92,3.00,3.00,3.21
"Rum, W.I.",1789,3.50,3.50,3.63,3.63,3.75,3.63,3.63,3.63,3.63,4.13,4.13,4.50
"Sugar, Loaf",1770,0.92,1.04,1.00,1.02,1.01,1.00,1.00,1.00,1.00,1.00,0.99,0.98
"Sugar, Loaf",1772,0.96,0.96,0.95,0.94,0.94,0.95,0.94,0.95,0.94,0.93,0.95,0.94
"Sugar, Loaf",1774,1.00,1.04,1.00,1.00,1.00,1.12,1.12,1.12,1.08,1.08,1.08,1.08
"Sugar, Loaf",1775,1.08,1.08,1.08,1.08,1.08,1.17,1.13,1.13,1.13,1.13,1.13,1.13
"Sugar, Loaf",1776,1.12,1.12,1.26,1.31,1.42,1.50,2.63,3.07,3.50,3.50,3.50,5.00
"Sugar, Loaf",1778,0.78,0.91,0.88,0.90,0.74,0.50,0.90,0.75,0.90,0.83,0.70,1.25
"Sugar, Loaf",1779,1.30,1.35,1.50,2.31,2.62,2.62,2.31,2.36,3.38,4.00,4.00,4.50
"Sugar, Loaf",1780,4.50,4.50,4.50,4.50,5.06,5.62,6.45,6.98,7.50,8.50,8.40,10.9
"Sugar, Loaf",1783,2.25,2.25,1.88,1.25,1.17,1.25,1.25,1.42,1.58,1.57,1.58,1.60
"Sugar, Loaf",1785,1.00,1.00,1.00,1.00,1.00,0.92,0.92,0.92,0.92,1.00,1.00,1.00
"Sugar, Loaf",1786,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08
"Sugar, Loaf",1787,1.08,1.08,1.08,1.04,1.04,1.08,1.08,1.08,1.08,1.03,1.03,1.08
"Sugar, Loaf",1788,1.08,1.08,1.08,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,0.98
"Sugar, Loaf",1789,0.98,0.98,0.98,0.98,1.17,1.17,1.17,1.13,1.13,1.08,1.08,1.08
"Sugar, Muscovado",1771,2.56,2.38,2.65,2.65,2.38,2.58,2.59,2.42,2.47,2.75,2.54,2.56
"Sugar, Muscovado",1772,2.65,2.38,2.44,2.49,2.51,2.45,2.45,2.42,2.52,2.47,2.41,2.45
"Sugar, Muscovado",1773,2.38,2.40,2.32,2.50,2.44,2.56,2.50,2.51,2.50,2.50,2.65,2.75
"Sugar, Muscovado",1774,2.80,2.75,2.75,2.75,2.75,2.88,2.80,2.79,2.85,2.80,2.75,2.72
"Sugar, Muscovado",1775,2.70,2.90,2.52,2.53,2.57,2.56,2.54,2.47,2.51,2.85,2.81,2.81
"Sugar, Muscovado",1776,2.87,3.02,3.25,3.25,4.83,5.57,5.38,5.50,4.50,4.65,5.60,6.06
"Sugar, Muscovado",1777,12.0,10.0,11.2,11.2,12.4,16.0,22.5,32.2,36.0,36.0,33.6,32.0
"Sugar, Muscovado",1778,40.5,49.0,38.3,36.4,40.0,35.0,30.0,36.1,32.2,31.2,38.5,58.6
"Sugar, Muscovado",1780,200.0,235.9,350.0,332.0,286.7,224.8,255.2,268.3,277.5,294.7,416.0,450.0
"Sugar, Muscovado",1782,4.45,3.62,3.79,4.30,5.00,5.83,4.50,4.62,4.50,4.50,4.76,4.75
"Sugar, Muscovado",1783,5.00,5.00,4.16,3.31,3.11,3.46,3.33,3.15,3.18,3.12,3.25,3.25
"Sugar, Muscovado",1784,3.25,3.00,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.01,2.62,2.75
"Sugar, Muscovado",1785,2.48,2.48,2.41,2.41,2.41,2.40,2.40,2.40,2.52,2.81,2.94,2.94
"Sugar, Muscovado",1786,2.94,2.94,2.94,2.69,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
"Sugar, Muscovado",1787,2.75,2.75,2.75,2.75,2.75,2.75,2.62,2.62,2.62,2.62,2.62,2.62
"Sugar, Muscovado",1788,2.62,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.69,2.69,2.88
"Sugar, Muscovado",1789,2.88,2.88,2.88,2.88,3.19,3.19,3.19,3.06,3.06,3.06,3.06,3.06
"Sugar, Muscovado",1790,3.06,3.06,3.06,3.06,3.06,3.19,3.25,3.50,3.75,4.12,4.12,4.12
Tar,1770,12.0,10.0,11.0,10.0,10.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0
Tar,1771,12.0,12.0,12.0,12.0,13.2,12.0,13.0,14.0,12.0,12.0,12.7,12.0
Tar,1772,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.5,14.0,15.3
Tar,1773,15.0,15.0,14.3,14.0,13.7,13.0,13.1,13.4,13.0,14.0,13.0,14.0
Tar,1774,13.5,14.0,14.0,14.0,13.0,13.2,13.4,13.5,15.0,14.5,14.0,13.0
Tar,1775,12.0,12.0,12.0,13.5,11.8,10.8,11.8,12.5,11.0,15.0,15.0,15.5
Tar,1776,16.0,16.0,16.0,20.0,20.0,20.0,20.0,20.0,18.0,18.0,20.0,16.0
Tar,1777,30.0,24.0,18.0,21.5,25.0,24.5,27.3,27.3,27.6,22.0,26.0,42.9
Tar,1778,3.27,4.47,5.69,7.29,5.96,8.99,9.38,8.76,7.00,7.00,6.84,8.55
Tar,1779,8.00,8.50,8.50,9.00,13.1,15.0,15.0,15.0,15.0,15.0,15.0,22.0
Tar,1780,51.2,80.0,80.0,70.0,72.5,69.5,70.0,65.0,82.5,85.0,85.0,90.0
Tar,1782,32.5,37.5,42.8,43.1,43.0,38.8,35.0,27.5,35.0,30.0,35.0,35.0
Tar,1783,39.4,33.1,26.8,21.9,19.4,20.0,30.0,30.0,27.0,24.2,20.8,20.0
Tar,1785,17.5,17.5,17.5,15.5,15.5,10.5,10.0,11.0,12.5,13.0,12.5,12.5
Tar,1786,12.5,12.5,12.5,12.5,8.00,8.00,8.00,8.00,8.00,8.00,8.00,10.0
Tar,1787,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0
Tar,1789,12.5,12.0,12.0,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,15.5
Tar,1790,15.5,15.5,15.5,15.5,15.5,15.5,15.5,10.9,10.9,16.5,17.5,15.0
"Tea, Bohea",1770,5.30,5.25,5.25,5.00,7.50,7.50,7.50,7.50,7.25,6.00,6.00,5.88
"Tea, Bohea",1771,5.50,5.50,5.50,5.38,5.25,5.08,5.00,4.75,4.33,4.50,4.17,4.25
"Tea, Bohea",1772,4.25,4.08,4.00,4.00,4.00,4.00,4.00,4.00,4.17,4.25,4.25,4.25
"Tea, Bohea",1773,4.37,4.17,4.00,4.00,4.00,4.25,4.50,4.75,4.63,4.50,6.00,6.00
"Tea, Bohea",1774,5.76,5.65,5.50,5.00,5.50,6.00,5.33,5.00,5.00,5.00,5.50,4.00
"Tea, Bohea",1775,4.50,3.83,3.83,3.83,3.83,3.83,4.75,4.75,4.75,4.75,4.75,7.50
"Tea, Bohea",1777,13.5,13.5,22.5,30.0,30.0,55.0,55.0,67.5,80.0,66.4,59.6,50.6
"Tea, Bohea",1779,2.06,4.00,4.00,4.00,4.50,5.25,4.50,4.75,10.0,12.5,13.5,15.5
"Tea, Bohea",1780,21.0,21.0,23.2,30.0,28.1,30.0,30.0,30.0,33.0,32.2,50.0,40.0
"Tea, Bohea",1782,7.50,7.92,8.44,14.0,13.5,11.8,10.9,9.67,10.2,11.5,12.1,11.2
"Tea, Bohea",1783,9.50,9.00,6.75,6.38,6.00,4.75,4.00,4.08,4.00,4.25,4.07,4.00
"Tea, Bohea",1784,4.75,3.63,3.75,3.67,3.69,3.50,3.75,3.67,3.67,3.75,3.00,3.17
"Tea, Bohea",1785,2.50,2.83,2.83,2.92,2.92,2.75,2.58,2.58,2.58,2.58,2.58,2.58
"Tea, Bohea",1786,2.63,2.75,2.75,2.79,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
"Tea, Bohea",1787,2.75,2.75,2.75,2.88,2.63,2.42,2.42,2.42,2.42,2.42,2.75,2.75
"Tea, Bohea",1788,2.75,2.75,2.67,2.63,2.63,2.38,2.42,2.42,2.00,1.83,1.83,1.88
"Tea, Bohea",1789,1.88,1.88,1.88,1.81,2.00,2.00,2.00,2.00,1.88,1.88,1.88,2.00
"Tea, Bohea",1790,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.21,2.21,2.67,2.75,2.58
Tobacco,1770,24.8,31.2,31.2,31.2,31.2,31.2,20.0,20.0,26.2,32.5,32.5,32.5
Tobacco,1771,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Tobacco,1772,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,36.2,33.1,30.0
Tobacco,1779,15.0,14.5,15.0,22.5,22.5,25.0,25.0,25.0,36.2,46.2,50.0,60.0
Tobacco,1781,165.3,160.0,180.0,165.0,60.0,50.0,40.0,28.5,30.0,30.0,32.5,34.5
Tobacco,1782,37.5,40.0,35.0,40.0,37.5,35.0,35.0,35.0,35.0,40.0,37.5,37.5
Tobacco,1784,60.0,60.0,61.2,58.8,62.5,70.0,70.0,65.0,57.5,62.5,57.5,57.5
Tobacco,1785,57.5,57.5,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,50.0,50.0
Tobacco,1786,45.0,43.0,43.0,35.0,35.0,35.0,35.0,35.0,37.5,37.5,40.0,40.0
Tobacco,1787,40.0,40.0,40.0,40.0,41.2,40.0,37.5,40.0,42.0,42.0,42.0,42.0
Tobacco,1788,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,35.0,35.0
Tobacco,1789,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,32.5,32.5,32.5
Turpentine,1770,15.0,15.0,15.0,12.0,12.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0
Turpentine,1771,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,14.7,14.0
