industry,location_number,state,occupation,sex,initial_wage_per_day,date,num_workers,relative_wage
Books and newspapers,5,New York,Folders,F,0.47,1862-01,11,100
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1862-01,7,84
Books and newspapers,5,New York,Machin'ts,M,1.705,1862-07,1,88
Books and newspapers,5,New York,Pressmen,M,1.665,1862-07,2,100
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1862-07,3,95
Books and newspapers,5,New York,Porters,M,0.915,1862-07,3,109
Books and newspapers,5,New York,Folders,F,0.47,1862-07,12,105
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1862-07,9,95
Books and newspapers,5,New York,Machin'ts,M,1.705,1863-01,2,92
Books and newspapers,5,New York,Pressmen,M,1.665,1863-01,2,100
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1863-01,2,126
Books and newspapers,5,New York,Porters,M,0.915,1863-01,3,119
Books and newspapers,5,New York,Folders,F,0.47,1863-01,11,104
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1863-01,9,103
Books and newspapers,5,New York,Machin'ts,M,1.705,1864-07,3,137
Books and newspapers,5,New York,Pressmen,M,1.665,1864-07,2,150
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1864-07,4,119
Books and newspapers,5,New York,Porters,M,0.915,1864-07,5,138
Books and newspapers,5,New York,Folders,F,0.47,1864-07,26,119
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1864-07,14,137
Books and newspapers,5,New York,Machin'ts,M,1.705,1865-01,2,161
Books and newspapers,5,New York,Pressmen,M,1.665,1865-01,1,150
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1865-01,5,139
Books and newspapers,5,New York,Porters,M,0.915,1865-01,5,144
Books and newspapers,5,New York,Folders,F,0.47,1865-01,41,110
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1865-01,14,133
Books and newspapers,5,New York,Machin'ts,M,1.705,1865-07,3,156
Books and newspapers,5,New York,Pressmen,M,1.665,1865-07,3,133
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1865-07,4,133
Books and newspapers,5,New York,Porters,M,0.915,1865-07,4,146
Books and newspapers,5,New York,Folders,F,0.47,1865-07,30,117
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1865-07,13,140
Books and newspapers,5,New York,Machin'ts,M,1.705,1866-01,2,153
Books and newspapers,5,New York,Pressmen,M,1.665,1866-01,3,130
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1866-01,5,134
Books and newspapers,5,New York,Porters,M,0.915,1866-01,5,144
Books and newspapers,5,New York,Folders,F,0.47,1866-01,30,119
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1866-01,12,140
Books and newspapers,5,New York,Pressmen,M,1.665,1866-07,3,130
Books and newspapers,5,New York,Pressroom Hands,M,0.612,1866-07,5,115
Books and newspapers,5,New York,Porters,M,0.915,1866-07,3,140
Books and newspapers,5,New York,Folders,F,0.47,1866-07,22,134
Books and newspapers,5,New York,Pressroom Hands,F,0.465,1866-07,13,145
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1860-01,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1860-01,2,100
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1860-01,9,100
Books and newspapers,6,New York,Pressmen,M,2.335,1860-01,1,100
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1860-07,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1860-07,2,104
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1860-07,9,101
Books and newspapers,6,New York,Pressmen,M,2.335,1860-07,1,93
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1861-01,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1861-01,3,108
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1861-01,8,88
Books and newspapers,6,New York,Pressmen,M,2.335,1861-01,1,93
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1861-07,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1861-07,4,104
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1861-07,7,83
Books and newspapers,6,New York,Pressmen,M,2.335,1861-07,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1861-07,1,100
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1862-01,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1862-01,6,106
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1862-01,7,93
Books and newspapers,6,New York,Pressmen,M,2.335,1862-01,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1862-01,1,152
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1862-07,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1862-07,6,104
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1862-07,8,91
Books and newspapers,6,New York,Pressmen,M,2.335,1862-07,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1862-07,1,152
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1863-01,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1863-01,6,107
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1863-01,6,89
Books and newspapers,6,New York,Pressmen,M,2.335,1863-01,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1863-01,1,152
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1863-07,2,100
Books and newspapers,6,New York,Compositors,M,1.835,1863-07,6,111
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1863-07,6,89
Books and newspapers,6,New York,Pressmen,M,2.335,1863-07,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1863-07,1,152
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1864-01,2,110
Books and newspapers,6,New York,Compositors,M,1.835,1864-01,9,114
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1864-01,2,121
Books and newspapers,6,New York,Pressmen,M,2.335,1864-01,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1864-01,2,152
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1864-07,2,117
Books and newspapers,6,New York,Compositors,M,1.835,1864-07,8,117
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1864-07,3,99
Books and newspapers,6,New York,Pressmen,M,2.335,1864-07,1,93
Books and newspapers,6,New York,Press-feeders,F,0.33,1864-07,2,164
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1865-01,3,129
Books and newspapers,6,New York,Compositors,M,1.835,1865-01,11,138
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1865-01,4,98
Books and newspapers,6,New York,Press-feeders,F,0.33,1865-01,2,174
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1865-07,3,129
Books and newspapers,6,New York,Compositors,M,1.835,1865-07,8,136
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1865-07,3,121
Books and newspapers,6,New York,Press-feeders,F,0.33,1865-07,3,189
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1866-01,3,129
Books and newspapers,6,New York,Compositors,M,1.835,1866-01,10,134
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1866-01,4,97
Books and newspapers,6,New York,Press-feeders,F,0.33,1866-01,4,202
Books and newspapers,6,New York,Foremen Compositors,M,2.50,1866-07,3,129
Books and newspapers,6,New York,Compositors,M,1.835,1866-07,10,134
Books and newspapers,6,New York,Compositors Apprentices,M,0.755,1866-07,3,103
Books and newspapers,6,New York,Press-feeders,F,0.33,1866-07,4,202
Building trades,7,Connecticut,Carpent's,M,1.50,1860-01,4,100
Building trades,8,Connecticut,Carpent's,M,1.715,1860-01,9,100
Building trades,8,Connecticut,Carpent's Helpers,M,1.00,1860-01,1,100
Building trades,9,Connecticut,Hod Carriers,M,0.80,1860-01,8,100
Building trades,9,Connecticut,Masons,M,1.765,1860-01,6,100
Building trades,10,Maryland,Painters,M,1.75,1860-01,2,100
Building trades,7,Connecticut,Carpent's,M,1.50,1860-07,6,117
Building trades,8,Connecticut,Carpent's,M,1.715,1860-07,10,99
Building trades,9,Connecticut,Hod Carriers,M,0.80,1860-07,17,137
Building trades,9,Connecticut,Masons,M,1.765,1860-07,11,116
Building trades,10,Maryland,Painters,M,1.75,1860-07,4,100
Building trades,7,Connecticut,Carpent's,M,1.50,1861-01,3,89
Building trades,8,Connecticut,Carpent's,M,1.715,1861-01,9,91
Building trades,8,Connecticut,Carpent's Helpers,M,1.00,1861-01,1,138
Building trades,9,Connecticut,Hod Carriers,M,0.80,1861-01,12,125
Building trades,9,Connecticut,Masons,M,1.765,1861-01,12,105
Building trades,10,Maryland,Painters,M,1.75,1861-01,2,86
Building trades,7,Connecticut,Carpent's,M,1.50,1861-07,4,100
Building trades,8,Connecticut,Carpent's,M,1.715,1861-07,6,87
Building trades,8,Connecticut,Carpent's Helpers,M,1.00,1861-07,2,132
Building trades,9,Connecticut,Hod Carriers,M,0.80,1861-07,40,125
Building trades,9,Connecticut,Masons,M,1.765,1861-07,1,113
Building trades,10,Maryland,Painters,M,1.75,1861-07,1,86
Building trades,7,Connecticut,Carpent's,M,1.50,1862-01,3,89
Building trades,8,Connecticut,Carpent's,M,1.715,1862-01,1,87
Building trades,9,Connecticut,Hod Carriers,M,0.80,1862-01,15,125
Building trades,9,Connecticut,Masons,M,1.765,1862-01,9,113
Building trades,10,Maryland,Painters,M,1.75,1862-01,1,86
Building trades,7,Connecticut,Carpent's,M,1.50,1862-07,3,100
Building trades,8,Connecticut,Carpent's,M,1.715,1862-07,7,89
Building trades,8,Connecticut,Carpent's Helpers,M,1.00,1862-07,1,134
Building trades,9,Connecticut,Hod Carriers,M,0.80,1862-07,9,125
Building trades,9,Connecticut,Masons,M,1.765,1862-07,9,113
Building trades,10,Maryland,Painters,M,1.75,1862-07,6,86
