# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
"Groceries: sugar, good brown",per lb,Ohio,Zanesville,.08,100,100,125,150,225,225,225,,
"Groceries: sugar, good brown",per lb,Ind,Lawrenceburg,.10,100,100,100,100,120,110,110,,
"Groceries: sugar, good brown",per lb,Iowa,Cedar Rapids,.06,,100,133,133,167,167,278,,
"Groceries: coffee, Rio, roasted",per lb,Pa,Philadelphia,0.16,,100,113,138,238,281,281,,
"Groceries: coffee, Rio, roasted",per lb,Md,Baltimore,.20,100,100,150,210,250,210,180,,
"Groceries: coffee, Rio, roasted",per lb,W. Va,New Cumberland,.14,100,143,179,179,214,214,179,,
"Groceries: coffee, Rio, roasted",per lb,Ohio,Springfield,.18,100,100,100,100,167,250,333,,
"Groceries: coffee, Rio, roasted",per lb,Ohio,Zanesville,.16,100,94,94,113,125,125,156,,
"Groceries: coffee, Rio, roasted",per lb,Ind,Lawrenceburg,.30,100,100,133,133,150,133,150,,
"Groceries: coffee, Rio, roasted",per lb,Iowa,Cedar Rapids,.10,,100,120,200,450,450,350,,
"Groceries: tea, oolong or other good black",per lb,Pa,Philadelphia,0.50,,100,100,110,130,250,250,,
"Groceries: tea, oolong or other good black",per lb,Md,Baltimore,.60,100,125,167,167,200,250,208,,
"Groceries: tea, oolong or other good black",per lb,W. Va,New Cumberland,.50,100,120,160,160,160,180,160,,
"Groceries: tea, oolong or other good black",per lb,Ohio,Canton,1.00,100,100,125,150,200,200,180,,
"Groceries: tea, oolong or other good black",per lb,Ohio,Springfield,0.60,,100,100,125,250,333,293,,
"Groceries: tea, oolong or other good black",per lb,Ohio,Zanesville,.925,100,97,97,122,135,149,176,,
"Groceries: tea, oolong or other good black",per lb,Ind,Lawrenceburg,1.00,100,90,100,125,160,160,125,,
"Groceries: tea, oolong or other good black",per lb,Iowa,Cedar Rapids,0.30,,100,233,467,533,667,667,,
Groceries: starch,per lb,Pa,Philadelphia,0.07,,100,114,143,171,200,200,,
Groceries: starch,per lb,W. Va,New Cumberland,.07,100,114,143,143,143,114,114,,
Groceries: starch,per lb,Ohio,Canton,.10,100,100,125,150,150,125,100,,
Groceries: starch,per lb,Ohio,Springfield,.05,100,100,100,160,200,200,200,,
Groceries: starch,per lb,Ohio,Zanesville,.08,100,125,125,125,188,188,188,,
Groceries: starch,per lb,Ind,Lawrenceburg,.10,100,80,100,120,100,100,100,,
Groceries: starch,per lb,Iowa,Cedar Rapids,.05,,100,100,140,200,360,360,,
"Provisions: beef, corned",per lb,Mass,Boston,0.0775,100,97,97,133,164,200,194,,
"Provisions: beef, corned",per lb,Conn,Jewett City,.08,100,100,88,88,156,150,188,,
"Provisions: beef, corned",per lb,Conn,New London,.10,100,110,110,140,140,140,140,,
"Provisions: beef, corned",per lb,N. J.,Camden,.08,100,100,100,125,175,225,225,,
"Provisions: beef, corned",per lb,Pa,Philadelphia,.09,,100,100,111,133,156,167,,
"Provisions: beef, corned",per lb,W. Va,New Cumberland,.08,100,125,125,125,125,125,125,,
"Provisions: beef, corned",per lb,Ohio,Canton,.06,,100,133,167,208,200,167,,
"Provisions: beef, corned",per lb,Ohio,Springfield,.065,100,92,92,92,123,123,123,,
"Provisions: beef, corned",per lb,Ohio,Zanesville,.08,100,100,100,125,125,125,125,,
"Provisions: beef, corned",per lb,Ind,Evansville,.10,,100,100,100,125,125,125,,
"Provisions: beef, fresh, roasting pieces",per lb,Mass,Boston,0.115,100,100,100,130,166,207,211,,
"Provisions: beef, fresh, roasting pieces",per lb,Conn,New London,.13,100,123,123,138,154,169,169,,
"Provisions: beef, fresh, roasting pieces",per lb,N. J.,Camden,.14,100,100,100,114,179,250,250,,
"Provisions: beef, fresh, roasting pieces",per lb,Pa,Philadelphia,.10,,100,100,120,140,180,180,,
"Provisions: beef, fresh, roasting pieces",per lb,W. Va,New Cumberland,.08,100,150,150,150,150,150,150,,
"Provisions: beef, fresh, roasting pieces",per lb,Ohio,Canton,.08,,100,125,156,188,156,156,,
"Provisions: beef, fresh, roasting pieces",per lb,Ohio,Springfield,.085,100,94,94,94,147,147,147,,
"Provisions: beef, fresh, roasting pieces",per lb,Ohio,Zanesville,.09,100,89,100,111,111,111,111,,
"Provisions: beef, fresh, roasting pieces",per lb,Ind,Evansville,.075,,100,100,167,200,200,200,,
Provisions: butter,per lb,Mass,Boston,0.23 1/6,100,86,90,106,159,183,199,,
Provisions: butter,per lb,Conn,Jewett City,.23,100,96,91,109,122,143,196,,
Provisions: butter,per lb,Pa,Philadelphia,.20,,100,110,120,125,150,140,,
Provisions: butter,per lb,W. Va,New Cumberland,.16,100,125,125,125,125,125,125,,
Provisions: butter,per lb,Ohio,Canton,.12,100,67,83,150,333,292,292,,
Provisions: butter,per lb,Ohio,Springfield,.10,100,80,80,100,150,250,300,,
Provisions: butter,per lb,Ohio,Zanesville,.13,100,96,115,115,231,254,254,,
Provisions: butter,per lb,Ind,Lawrenceburg,.30,100,83,100,83,117,150,100,,
Provisions: butter,per lb,Ia,Cedar Rapids,.06,,100,200,250,333,417,333,,
"Provisions: beef, fresh, rump steaks",per lb,Conn,New London,0.11,100,109,109,127,145,164,164,,
"Provisions: beef, fresh, rump steaks",per lb,N. J.,Camden,.12,100,102,104,133,208,250,250,,
"Provisions: beef, fresh, rump steaks",per lb,Pa,Philadelphia,.14,,100,107,114,143,179,179,,
"Provisions: beef, fresh, rump steaks",per lb,W. Va,New Cumberland,.10,100,140,140,140,140,140,140,,
"Provisions: beef, fresh, rump steaks",per lb,Ohio,Canton,.10,100,110,125,150,180,150,150,,
"Provisions: beef, fresh, rump steaks",per lb,Ohio,Springfield,.10,100,100,100,100,150,150,150,,
"Provisions: beef, fresh, rump steaks",per lb,Ohio,Zanesville,.11,100,91,91,109,109,109,109,,
"Provisions: beef, fresh, rump steaks",per lb,Ind,Evansville,.075,,100,100,167,200,200,200,,
"Provisions: beef, fresh, soup-pieces",per lb,Conn,New London,0.055,100,127,127,164,164,164,164,,
"Provisions: beef, fresh, soup-pieces",per lb,N. J.,Camden,.08,100,100,100,100,175,200,200,,
"Provisions: beef, fresh, soup-pieces",per lb,Pa,Philadelphia,.07,,100,100,114,129,171,171,,
"Provisions: beef, fresh, soup-pieces",per lb,W. Va,New Cumberland,.03,100,233,233,233,233,233,233,,
"Provisions: beef, fresh, soup-pieces",per lb,Ohio,Canton,.04,100,100,125,150,200,150,150,,
"Provisions: beef, fresh, soup-pieces",per lb,Ohio,Springfield,.07,100,86,86,86,143,143,143,,
"Provisions: beef, fresh, soup-pieces",per lb,Ohio,Zanesville,.06,100,100,100,100,117,117,117,,
"Provisions: beef, fresh, soup-pieces",per lb,Ind,Evansville,.06,,100,,,167,167,167,,
"Provisions: flour, rye",per barrel,Mass,Boston,4.0925,100,92,101,115,172,179,171,,
"Provisions: flour, rye",per barrel,Conn,Jewett City,3.92,100,100,75,75,150,150,150,,
"Provisions: flour, rye",per barrel,Pa,Philadelphia,5.00,,100,120,160,200,220,220,,
"Provisions: flour, rye",per barrel,Md,Baltimore,5.25,100,95,100,119,200,162,129,,
"Provisions: flour, rye",per barrel,W. Va,New Cumberland,3.75,100,107,133,147,147,147,127,,
"Provisions: flour, rye",per barrel,Ohio,Springfield,3.50,100,129,114,114,200,257,286,,
"Provisions: flour, rye",per barrel,Ohio,Zanesville,4.25,100,94,94,141,165,176,188,,
"Provisions: flour, rye",per barrel,Ia,Cedar Rapids,2.00,,100,125,350,350,375,375,,
"Provisions: flour, wheat, extra family",per barrel,Conn,Jewett City,8.50,100,91,94,100,124,135,176,,
"Provisions: flour, wheat, extra family",per barrel,Pa,Philadelphia,8.00,,100,113,150,188,200,200,,
"Provisions: flour, wheat, extra family",per barrel,Md,Baltimore,8.25,100,103,115,121,161,167,206,,
"Provisions: flour, wheat, extra family",per barrel,W. Va,New Cumberland,6.00,100,125,133,142,142,147,142,,
"Provisions: flour, wheat, extra family",per barrel,Ohio,Canton,6.00,100,100,108,117,167,167,133,,
"Provisions: flour, wheat, extra family",per barrel,Ohio,Springfield,4.50,100,122,111,111,189,244,289,,
"Provisions: flour, wheat, extra family",per barrel,Ohio,Zanesville,4.75,100,105,105,179,190,200,211,,
"Provisions: flour, wheat, extra family",per barrel,Ia,Cedar Rapids,2.50,,100,120,300,300,330,330,,
Provisions: corn meal,per barrel,Mass,Boston,4.87,100,62,70,97,146,132,101,,
Provisions: corn meal,per barrel,Conn,Jewett City,3.92,100,100,75,75,150,150,150,,
Provisions: corn meal,per barrel,Pa,Philadelphia,3.00,,100,100,108,133,200,200,,
Provisions: corn meal,per barrel,W. Va,New Cumberland,1.50,100,133,150,167,167,167,150,,
Provisions: corn meal,per barrel,Ohio,Canton,3.00,100,100,117,160,200,200,117,,
Provisions: corn meal,per barrel,Ohio,Springfield,2.25,100,156,156,156,222,267,356,,
Provisions: corn meal,per barrel,Ohio,Zanesville,2.25,100,133,133,178,200,200,200,,
Provisions: corn meal,per barrel,Ind,Lawrenceburg,.70,100,114,129,143,150,157,143,,
Provisions: corn meal,per barrel,Ia,Cedar Rapids,1.50,,100,133,200,200,233,233,,
Provisions: cheese,per lb,Mass,Boston,0.11 5/8,100,87,80,117,149,168,160,,
Provisions: cheese,per lb,Conn,Jewett City,.13,100,77,69,92,123,154,177,,
Provisions: cheese,per lb,Pa,Philadelphia,.12,,100,125,150,167,208,208,,
Provisions: cheese,per lb,W. Va,New Cumberland,.11,100,136,136,136,136,136,145,,
Provisions: cheese,per lb,Ohio,Canton,.10,100,60,80,100,250,250,200,,
Provisions: cheese,per lb,Ohio,Springfield,.08,100,100,100,100,125,150,163,,
Provisions: cheese,per lb,Ohio,Zanesville,.125,100,80,80,120,168,160,200,,
Provisions: cheese,per lb,Ind,Lawrenceburg,.18,100,67,83,83,111,150,83,,
Provisions: cheese,per lb,Ia,Cedar Rapids,.10,,100,120,120,150,200,280,,
Provisions: eggs,per dozen,Mass,Boston,0.195,100,87,92,110,144,185,169,,
Provisions: eggs,per dozen,Conn,Jewett City,.17,100,82,88,100,135,176,159,,
Provisions: eggs,per dozen,Pa,Philadelphia,.18,,100,100,111,117,139,144,,
Provisions: eggs,per dozen,W. Va,New Cumberland,.10,100,120,140,140,140,140,120,,
Provisions: eggs,per dozen,Ohio,Canton,.10,100,60,100,120,100,100,100,,
Provisions: eggs,per dozen,Ohio,Springfield,.07,100,143,143,171,186,214,229,,
Provisions: eggs,per dozen,Ohio,Zanesville,.15,100,40,67,67,100,100,100,,
Provisions: eggs,per dozen,Ind,Lawrenceburg,.20,100,100,100,75,75,150,150,,
Provisions: eggs,per dozen,Ia,Cedar Rapids,.05,,100,100,200,200,300,300,,
Provisions: lard,per lb,Mass,Boston,0.12 5/6,100,85,77,88,119,199,169,,
Provisions: lard,per lb,Conn,Jewett City,.14,100,93,89,89,157,200,179,,
Provisions: lard,per lb,Conn,New London,.12,100,117,117,117,117,117,133,,
Provisions: lard,per lb,Pa,Philadelphia,.10,,100,105,105,140,180,190,,
Provisions: lard,per lb,W. Va,New Cumberland,.10,100,120,140,140,140,140,150,,
Provisions: lard,per lb,Ohio,Canton,.09,100,67,89,133,200,222,222,,
Provisions: lard,per lb,Ohio,Springfield,.07,100,114,114,114,143,143,143,,
Provisions: lard,per lb,Ohio,Zanesville,.10,100,100,120,180,200,220,220,,
Provisions: lard,per lb,Ind,Lawrenceburg,.15,100,100,100,100,100,100,100,,
Provisions: mutton chops,per lb,Conn,New London,0.16,100,100,100,100,100,113,113,,
Provisions: mutton chops,per lb,Pa,Philadelphia,.10,,100,110,120,140,180,180,,
Provisions: mutton chops,per lb,N. J.,Camden,.12,100,117,117,125,150,208,208,,
Provisions: mutton chops,per lb,W. Va,New Cumberland,.08,100,150,150,150,150,150,150,,
Provisions: mutton chops,per lb,Ohio,Zanesville,.10,100,70,70,80,80,90,100,,
"Provisions: flour, wheat, superfine",per barrel,Conn,Jewett City,7.50,100,93,97,107,127,137,173,,
"Provisions: flour, wheat, superfine",per barrel,Pa,Philadelphia,6.50,,100,115,138,185,192,192,,
"Provisions: flour, wheat, superfine",per barrel,Md,Baltimore,6.00,100,104,129,125,175,167,188,,
"Provisions: flour, wheat, superfine",per barrel,W. Va,New Cumberland,4.50,100,133,156,167,167,167,156,,
"Provisions: flour, wheat, superfine",per barrel,Ohio,Canton,5.75,100,96,104,113,157,148,122,,
"Provisions: flour, wheat, superfine",per barrel,Ohio,Springfield,4.00,100,125,113,113,200,250,300,,
"Provisions: flour, wheat, superfine",per barrel,Ohio,Zanesville,5.25,100,114,114,181,190,200,229,,
"Provisions: flour, wheat, superfine",per barrel,Ia,Cedar Rapids,3.00,,100,108,267,267,300,300,,
Provisions: milk,per quart,Pa,Philadelphia,0.06,,100,100,117,117,167,167,,
Provisions: milk,per quart,W. Va,New Cumberland,.04,100,200,200,200,250,250,200,,
Provisions: milk,per quart,Ohio,Canton,.03,100,133,167,200,267,200,200,,
Provisions: milk,per quart,Ohio,Springfield,.05,100,120,120,160,160,160,160,,
Provisions: milk,per quart,Ohio,Zanesville,.06,100,100,100,133,133,133,167,,
Provisions: milk,per quart,Ind,Lawrenceburg,.07,100,100,114,143,143,143,143,,
Provisions: milk,per quart,Ia,Cedar Rapids,.04,,100,125,125,150,150,150,,
"Provisions: mackerel, pickled",per lb,Conn,Jewett City,0.09,100,78,89,89,122,111,111,,
"Provisions: mackerel, pickled",per lb,Pa,Philadelphia,.08,,100,113,125,175,200,225,,
"Provisions: mackerel, pickled",per lb,W. Va,New Cumberland,.04,100,150,200,200,200,200,200,,
"Provisions: mackerel, pickled",per lb,Ohio,Canton,.08,100,75,100,125,125,125,125,,
"Provisions: mackerel, pickled",per lb,Ohio,Zanesville,.10,100,50,60,70,80,100,100,,
"Provisions: mackerel, pickled",per lb,Ind,Lawrenceburg,.08,100,100,100,125,188,125,125,,
"Provisions: mackerel, pickled",per lb,Ia,Cedar Rapids,.07,,100,114,143,179,179,179,,
"Provisions: mutton, forequarters",per lb,Mass,Boston,0.10 7/24,100,95,61,88,117,124,112,,
"Provisions: mutton, forequarters",per lb,Conn,New London,.10,100,130,130,130,130,140,140,,
"Provisions: mutton, forequarters",per lb,N. J.,Camden,.07,100,114,114,143,157,171,171,,
"Provisions: mutton, forequarters",per lb,Pa,Philadelphia,.05,,100,120,120,160,240,240,,
"Provisions: mutton, forequarters",per lb,W. Va,New Cumberland,.05,100,140,140,140,140,140,140,,
"Provisions: mutton, forequarters",per lb,Ohio,Zanesville,.05,100,100,100,120,120,140,140,,
"Provisions: mutton, forequarters",per lb,Ind,Evansville,.075,,100,100,167,200,200,200,,
"Provisions: pork, bacon",per lb,Conn,New London,0.12,100,117,117,117,117,117,133,,
"Provisions: pork, bacon",per lb,Pa,Philadelphia,.09,,100,100,111,133,200,200,,
"Provisions: pork, bacon",per lb,W. Va,New Cumberland,.08,100,125,150,150,175,175,150,,
"Provisions: pork, bacon",per lb,Ohio,Canton,.06,,100,133,250,333,250,,,
"Provisions: pork, bacon",per lb,Ohio,Springfield,.055,100,109,109,109,218,218,218,,
"Provisions: pork, bacon",per lb,Ohio,Zanesville,.10,100,100,120,140,180,200,200,,
"Provisions: pork, bacon",per lb,Ind,Lawrenceburg,.18,100,78,83,94,97,83,67,,
"Provisions: pork, corned or salted",per lb,Mass,Boston,0.10 1/12,100,95,89,93,139,212,183,,
"Provisions: pork, corned or salted",per lb,Conn,Jewett City,.125,100,100,80,96,176,200,192,,
"Provisions: pork, corned or salted",per lb,Conn,New London,.11,100,109,109,109,109,109,127,,
"Provisions: pork, corned or salted",per lb,Pa,Philadelphia,.09,,100,100,111,133,200,200,,
"Provisions: pork, corned or salted",per lb,W. Va,New Cumberland,.06,100,117,133,133,133,150,150,,
"Provisions: pork, corned or salted",per lb,Ohio,Zanesville,.055,100,164,182,218,291,327,327,,
"Provisions: mutton, leg",per lb,Conn,New London,0.16,100,100,100,100,100,113,113,,
"Provisions: mutton, leg",per lb,N. J.,Camden,.09,100,111,133,133,178,244,244,,
"Provisions: mutton, leg",per lb,Pa,Philadelphia,.10,,100,110,120,140,180,180,,
"Provisions: mutton, leg",per lb,W. Va,New Cumberland,.06,100,150,150,150,150,150,150,,
"Provisions: mutton, leg",per lb,Ohio,Zanesville,.07,100,86,86,100,100,114,129,,
"Provisions: pork, fresh",per lb,Mass,Boston,0.0975,100,87,85,92,128,185,155,,
"Provisions: pork, fresh",per lb,Conn,New London,.11,100,109,109,109,109,109,127,,
"Provisions: pork, fresh",per lb,Pa,Philadelphia,.10,,100,100,120,140,200,220,,
"Provisions: pork, fresh",per lb,W. Va,New Cumberland,.04,100,125,150,150,150,200,200,,
"Provisions: pork, fresh",per lb,Ohio,Canton,.045,100,133,133,178,278,278,333,,
"Provisions: pork, fresh",per lb,Ohio,Zanesville,.06,100,150,150,167,300,300,300,,
"Provisions: pork, hams, smoked",per lb,Mass,Boston,0.11 3/8,100,93,84,97,154,197,182,,
"Provisions: pork, hams, smoked",per lb,Conn,Jewett City,.13,100,96,77,96,150,192,192,,
"Provisions: pork, hams, smoked",per lb,Conn,New London,.14,100,100,100,100,100,100,114,,
"Provisions: pork, hams, smoked",per lb,Pa,Philadelphia,.10,,100,100,120,150,240,250,,
"Provisions: pork, hams, smoked",per lb,W. Va,New Cumberland,.12,100,117,133,133,133,150,150,,
"Provisions: pork, hams, smoked",per lb,Ohio,Canton,.09,100,139,139,167,222,278,244,,
"Provisions: pork, hams, smoked",per lb,Ohio,Springfield,.075,100,107,107,107,200,200,200,,
"Provisions: pork, hams, smoked",per lb,Ohio,Zanesville,.11,100,109,136,164,182,227,227,,
"Provisions: pork, hams, smoked",per lb,Ind,Lawrenceburg,.20,100,75,85,90,95,80,75,,
"Provisions: pork, sausages",per lb,Mass,Boston,0.1125,100,97,100,93,113,192,176,,
"Provisions: pork, sausages",per lb,Conn,New London,.12,100,117,117,117,117,117,133,,
"Provisions: pork, sausages",per lb,Pa,Philadelphia,.10,,100,100,120,150,200,220,,
"Provisions: pork, sausages",per lb,W. Va,New Cumberland,.10,100,120,140,140,140,150,150,,
"Provisions: pork, sausages",per lb,Ohio,Springfield,.07,100,100,100,100,114,114,114,,
"Provisions: pork, sausages",per lb,Ohio,Zanesville,.085,100,118,141,176,212,235,235,,
"Provisions: pork, shoulders",per lb,Conn,New London,0.08,100,150,150,150,150,150,175,,
"Provisions: pork, shoulders",per lb,Pa,Philadelphia,.07,,100,100,114,143,214,229,,
"Provisions: pork, shoulders",per lb,W. Va,New Cumberland,.07,100,143,171,171,171,200,200,,
"Provisions: pork, shoulders",per lb,Ohio,Canton,.06,100,133,133,167,250,250,208,,
"Provisions: pork, shoulders",per lb,Ohio,Springfield,.05,100,100,100,100,160,160,160,,
"Provisions: pork, shoulders",per lb,Ohio,Zanesville,.06,100,167,200,250,300,333,333,,
"Provisions: pork, shoulders",per lb,Ind,Lawrenceburg,.13,100,100,115,115,123,123,92,,
"Provisions: veal, cutlets",per lb,Conn,New London,0.16,100,113,113,113,113,125,125,,
"Provisions: veal, cutlets",per lb,N. J.,Camden,.14,100,100,100,100,179,179,179,,
"Provisions: veal, cutlets",per lb,Pa,Philadelphia,.15,,100,100,107,120,167,160,,
"Provisions: veal, cutlets",per lb,W. Va,New Cumberland,.10,100,120,120,120,120,120,120,,
"Provisions: veal, cutlets",per lb,Ohio,Zanesville,.10,100,80,80,90,100,100,120,,
"Provisions: veal, cutlets",per lb,Ind,Evansville,.20,,100,100,100,125,125,125,,
"Provisions: veal, fore quarters",per lb,Mass,Boston,0.09 5/24,100,98,63,77,126,153,151,,
"Provisions: veal, fore quarters",per lb,Conn,New London,.10,100,130,130,140,140,150,150,,
"Provisions: veal, fore quarters",per lb,Pa,Philadelphia,.06,,100,100,117,150,200,200,,
"Provisions: veal, fore quarters",per lb,W. Va,New Cumberland,.04,100,150,150,150,150,150,150,,
"Provisions: veal, fore quarters",per lb,Ohio,Canton,.03,100,100,133,200,333,267,267,,
"Provisions: veal, fore quarters",per lb,Ohio,Zanesville,.05,100,100,100,120,140,140,140,,
"Provisions: veal, fore quarters",per lb,Ind,Evansville,.075,,100,100,167,200,200,200,,
"Provisions: veal, hind quarters",per lb,Conn,New London,0.14,100,107,107,114,114,129,129,,
"Provisions: veal, hind quarters",per lb,N. J.,Camden,.10,100,100,100,100,140,140,140,,
"Provisions: veal, hind quarters",per lb,Pa,Philadelphia,.10,,100,100,100,120,150,150,,
"Provisions: veal, hind quarters",per lb,W. Va,New Cumberland,.05,100,160,160,160,160,160,160,,
"Provisions: veal, hind quarters",per lb,Ohio,Canton,.04,100,100,125,200,313,250,250,,
"Provisions: veal, hind quarters",per lb,Ohio,Zanesville,.06,100,100,100,117,133,133,133,,
"Provisions: veal, hind quarters",per lb,Ind,Evansville,.08,100,100,100,156,188,188,188,,
Provisions: rice,per lb,Conn,Jewett City,0.06,100,117,150,167,167,250,250,,
Provisions: rice,per lb,Pa,Philadelphia,.08,,100,113,125,162,175,175,,
Provisions: rice,per lb,Md,Baltimore,.06,100,100,150,167,250,250,233,,
Provisions: rice,per lb,W. Va,New Cumberland,.07,100,143,214,214,214,214,214,,
Provisions: rice,per lb,Ohio,Canton,.06,100,100,133,208,333,250,208,,
Provisions: rice,per lb,Ohio,Springfield,.08,100,100,125,125,125,125,125,,
Provisions: rice,per lb,Ohio,Zanesville,.0625,100,160,192,240,288,320,320,,
Provisions: rice,per lb,Ind,Lawrenceburg,.10,100,100,150,200,200,120,120,,
Provisions: rice,per lb,Ia,Cedar Rapids,.05,,100,200,240,240,250,250,,
Provisions: potatoes,per bushel,Mass,Boston,1.02 2/3,100,81,94,93,153,117,117,,
Provisions: potatoes,per bushel,Conn,Jewett City,0.50,100,90,110,100,180,160,120,,
Provisions: potatoes,per bushel,Pa,Philadelphia,.60,,100,100,125,133,150,167,,
Provisions: potatoes,per bushel,W. Va,New Cumberland,.35,100,143,214,214,214,214,214,,
Provisions: potatoes,per bushel,Ohio,Springfield,.30,100,133,133,167,250,283,333,,
Provisions: potatoes,per bushel,Ohio,Zanesville,.60,100,83,83,100,133,167,167,,
Provisions: potatoes,per bushel,Ind,Lawrenceburg,.80,100,94,125,150,94,94,188,,
Provisions: potatoes,per bushel,Ia,Cedar Rapids,.20,,100,175,200,200,200,350,,
Fuel: oil,per gallon,Conn,Jewett City,1.00,100,75,75,75,92,100,90,,
Fuel: oil,per gallon,Conn,New Haven,1.00,100,75,75,85,75,120,90,,
Fuel: oil,per gallon,N. Y.,Watertown,1.12,,100,45,54,73,107,67,,
Fuel: oil,per gallon,Pa,Norristown,0.70,100,100,100,100,171,171,143,,
Fuel: oil,per gallon,Pa,Philadelphia,.25,,100,100,400,400,400,320,,
Fuel: oil,per gallon,W. Va,New Cumberland,.30,100,100,133,133,167,167,133,,
Fuel: oil,per gallon,Ohio,Canton,.50,100,80,80,100,120,100,80,,
Fuel: oil,per gallon,Ohio,Zanesville,.60,100,100,100,100,100,100,117,,
Fuel: oil,per gallon,Ill,Rock Island,.35,,100,171,286,286,229,171,,
"Fuel: coal, anthracite",per ton,Mass,Boston (1),6.00,100,98,117,175,217,217,204,,
"Fuel: coal, anthracite",per ton,Mass,Boston (2),5.75,100,121,117,173,220,229,192,,
"Fuel: coal, anthracite",per ton,Pa,Philadelphia (1),5.00,,100,100,120,130,140,160,,
"Fuel: coal, anthracite",per ton,Pa,Philadelphia (2),3.41,,100,123,186,277,281,218,,
"Fuel: coal, anthracite",per ton,Pa,Reading,2.50,,100,100,180,220,260,260,,
"Fuel: coal, anthracite",per ton,Ohio,Zanesville,3.00,100,100,133,167,167,167,167,,
"Fuel: coal, bituminous",per ton,W. Va,New Cumberland,1.40,100,171,179,214,214,196,196,,
"Fuel: coal, bituminous",per ton,Ohio,Canton,2.00,100,88,100,175,175,150,150,,
"Fuel: coal, bituminous",per ton,Ohio,Springfield,3.50,,100,100,100,100,100,100,,
"Fuel: coal, bituminous",per ton,Ohio,Zanesville,1.50,100,100,100,200,200,200,200,,
"Fuel: coal, bituminous",per ton,Indiana,Lawrenceburg,3.50,100,93,114,114,129,114,107,,
"Fuel: coal, bituminous",per ton,Illinois,Belleville,1.82,100,,,,171,171,171,,
"Fuel: coal, bituminous",per ton,Illinois,Rock Island,3.12,100,80,96,104,104,104,104,,
"Fuel: wood, hard",per cord,Mass,Boston (1),6.50,100,,150,169,200,200,231,,
"Fuel: wood, hard",per cord,Mass,Boston (2),6.50,100,123,183,164,192,195,228,,
"Fuel: wood, hard",per cord,Conn,Danielsonville,4.00,100,100,100,100,119,138,125,,
"Fuel: wood, hard",per cord,Conn,Jewett City,3.50,100,100,100,114,114,157,143,,
"Fuel: wood, hard",per cord,Pa,Reading,4.00,,100,100,125,125,150,150,,
"Fuel: wood, hard",per cord,W. Va,New Cumberland,1.75,100,100,114,143,143,143,143,,
"Fuel: wood, hard",per cord,Ohio,Canton,2.50,100,80,100,120,120,180,180,,
"Fuel: wood, hard",per cord,Ohio,Springfield,3.00,100,92,92,100,133,167,167,,
"Fuel: wood, hard",per cord,Ohio,Zanesville,1.50,100,133,133,150,183,200,200,,
"Fuel: wood, hard",per cord,Indiana,Lawrenceburg,4.00,100,100,138,150,150,138,125,,
"Fuel: wood, hard",per cord,Illinois,Rock Island,4.50,100,89,133,144,144,133,133,,
"Fuel: wood, hard",per cord,Iowa,Cedar Rapids,2.50,,100,100,120,120,200,200,,
"Fuel: wood, hard",per cord,Missouri,Pilot Knob,2.50,100,120,120,160,160,160,160,,
"Fuel: wood, pine",per cord,Mass,Boston (1),4.50,100,,153,178,233,211,267,,
"Fuel: wood, pine",per cord,Mass,Boston (2),4.50,100,133,154,185,230,207,267,,
"Fuel: wood, pine",per cord,Conn,Danielsonville,3.50,100,100,100,100,121,143,129,,
"Fuel: wood, pine",per cord,W. Va,New Cumberland,1.50,100,117,133,150,150,150,150,,
"Fuel: wood, pine",per cord,Ohio,Zanesville,1.00,100,175,175,200,225,250,275,,
"Fuel: wood, pine",per cord,Illinois,Rock Island,1.00,,100,150,200,200,150,150,,
Men's heavy boots,per pair,Conn,Ansonia,2.50,,100,120,140,150,160,180,,
Men's heavy boots,per pair,Conn,Jewett City,3.00,100,96,92,100,117,133,142,,
Men's heavy boots,per pair,Conn,Waterbury,3.25,,100,108,108,123,123,123,,
Men's heavy boots,per pair,N. Y.,Homer,3.50,,100,100,114,143,171,157,,
