# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 2: "Relative Prices of Various Commodities at Wholesale"
# Pages 435-448. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1865. 122 series, 2,928 cells, of
# which 36 are printed "...." and left blank.
#
# Mitchell lays the table out in blocks of six columns across fourteen pages, each
# block covering part of the date range; they share one date index and are merged
# here. Column names are commodity plus grade or description, as printed.
#
# TWO COLUMNS ARE NOT QUOTED IN THE HEADING MONTHS. Mitchell prints a month against
# each figure for fish_cod and meat_beef_loins: they are quoted in February, May,
# August and November rather than January, April, July and October. The values sit on
# the row of the quarter they belong to, as in the source, but they are one month
# later than every other column.
#
# Re-transcribed 17 September 2026 from the page images, replacing a version in which
# 35 of the 72 cells on page 446 were wrong. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table2_wholesale_prices.csv by analysis/03_build_tidy.py. Do not edit.
date,commodity,relative_price
1860-04,denims,103.5
1860-04,drillings_30_inch_pepperell,97.2
1860-04,eggs,88.9
1860-04,fish_cod,100.0
1860-04,flax_seed,98.2
1860-04,flour_rye,100.0
1860-04,fruit_apples_dried,90.3
1860-04,fruit_currants_zante,104.2
1860-04,fruit_raisins,103.3
1860-04,furniture_chairs_bed_room,100.0
1860-04,furniture_chairs_kitchen,100.0
1860-04,furniture_tables_kitchen,100.0
1860-04,hemlock_lumber_in_the_log,100.0
1860-04,jute,108.6
1860-04,lard,97.6
1860-04,lead_drop_shot,119.1
1860-04,lead_pig,101.7
1860-04,lead_pipe,116.7
1860-04,leather_harness,100.0
1860-04,lime_rockland,141.7
1860-04,linseed_oil,105.3
1860-04,matches,100.0
1860-04,meal_corn_yellow_kiln_dried,96.4
1860-04,meat_beef_loins,100.0
1860-04,meat_beef_ribs,93.3
1860-04,meat_beef_salt_mess,91.3
1860-04,meat_mutton,120.0
1860-04,meat_pork_salt_mess,109.1
1860-04,mercury,100.0
1860-04,molasses_new_orleans_prime,90.6
1860-04,molasses_porto_rico_best,107.9
1860-04,muriatic_acid,100.0
1860-04,opium,121.7
1860-04,oxide_of_zinc,111.1
1860-04,pails_wooden_2_hoops_1,100.0
1860-04,pails_wooden_2_hoops_2,100.0
1860-04,pails_wooden_3_hoops,100.0
1860-04,pine_boards_1_inch,106.4
1860-04,pine_lumber_in_the_log,100.0
1860-04,powder_rifle,100.0
1860-04,print_cloths_28_inch_64x64_metacomet,100.0
1860-04,print_cloths_28_inch_7_yds_to_lb_standard,97.8
1860-04,putty,100.0
1860-04,quicksilver,112.3
1860-04,quinine,122.7
1860-04,rope_manilla,100.0
1860-04,rope_tarred_american,100.0
1860-04,rubber_para,109.1
1860-04,salt_ashtons,76.9
1860-04,salt_ashtons_liverpool_fine,77.9
1860-04,salt_turks_island,90.0
1860-04,sheetings_brown_4_4_atlantic_a,102.9
1860-04,ship_biscuit,100.0
1860-04,shirtings_bleached_4_4_ny_mills,100.0
1860-04,shovels,100.0
1860-04,silk_raw_italian,100.0
1860-04,soap_castile,114.7
1860-04,soda_ash,100.0
1860-04,spelter_imported,100.0
1860-04,spices_nutmegs,102.4
1860-04,spices_pepper_whole_sumatra,98.5
1860-04,spruce_boards,91.7
1860-04,starch_corn,100.0
1860-04,starch_ontario,100.0
1860-04,starch_pearl,100.0
1860-04,starch_pure,100.0
1860-04,starch_refined,100.0
1860-04,starch_silver_gloss,100.0
1860-04,sugar_fair_refining,93.1
1860-04,sugar_havana_brown,96.9
1860-04,sugar_of_lead_brown,93.3
1860-04,sugar_of_lead_white,95.7
1860-04,sugar_refined_crushed_and_granulated,97.5
1860-04,sulphuric_acid,100.0
1860-04,tallow_prime_city_in_hhds,102.4
1860-04,tickings,100.0
1860-04,tin_plates_ic_coke,101.7
1860-04,tubs_wooden_1,100.0
1860-04,tubs_wooden_2,100.0
1860-04,tubs_wooden_3,100.0
1860-04,tubs_wooden_4,97.8
1860-04,turpentine,115.0
1860-04,vegetables_fresh_potatoes_white_1,100.0
1860-04,vegetables_fresh_potatoes_white_2,137.5
1860-04,window_glass_american_10x14_firsts,91.7
1860-04,window_glass_american_10x14_thirds,100.0
