# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 1, Part B: "Averages for the Several Products"
# Pages 433-434. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1866. Mitchell splits the thirteen
# products across two blocks for typographic reasons and breaks the first block over
# two pages; the date index is identical, so they are one table here.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table1b_averages.csv by analysis/03_build_tidy.py. Do not edit.
date,product,relative_price
1864-01,meat_sheep,141
1864-01,meat_pork,115
1864-01,oats,215
1864-01,rye,153
1864-01,timothy_seed,111
1864-01,tobacco,212
1864-01,wheat,113
1864-04,barley,184
1864-04,clover_seed,161
1864-04,corn,195
1864-04,flax_seed,230
1864-04,hides,145
1864-04,meat_beeves,155
1864-04,meat_sheep,190
1864-04,meat_pork,145
1864-04,oats,205
1864-04,rye,150
1864-04,timothy_seed,106
1864-04,tobacco,238
1864-04,wheat,121
1864-07,barley,233
1864-07,clover_seed,161
1864-07,corn,218
1864-07,flax_seed,243
1864-07,hides,165
1864-07,meat_beeves,168
1864-07,meat_sheep,114
1864-07,meat_pork,170
1864-07,oats,219
1864-07,rye,206
1864-07,timothy_seed,120
1864-07,tobacco,249
1864-07,wheat,185
1864-10,barley,235
1864-10,clover_seed,222
1864-10,corn,230
1864-10,flax_seed,228
1864-10,hides,137
1864-10,meat_beeves,175
1864-10,meat_sheep,157
1864-10,meat_pork,186
1864-10,oats,197
1864-10,rye,166
1864-10,timothy_seed,194
1864-10,tobacco,257
1864-10,wheat,143
1865-01,barley,220
1865-01,clover_seed,318
1865-01,corn,235
1865-01,flax_seed,246
1865-01,hides,149
1865-01,meat_beeves,185
1865-01,meat_sheep,191
1865-01,meat_pork,253
1865-01,oats,237
1865-01,rye,184
1865-01,timothy_seed,224
1865-01,tobacco,282
1865-01,wheat,169
1865-04,barley,172
1865-04,clover_seed,296
1865-04,corn,169
1865-04,flax_seed,179
1865-04,hides,120
1865-04,meat_beeves,240
1865-04,meat_sheep,194
1865-04,meat_pork,205
1865-04,oats,180
1865-04,rye,129
1865-04,timothy_seed,179
1865-04,tobacco,233
1865-04,wheat,125
1865-07,barley,117
1865-07,clover_seed,252
1865-07,corn,117
1865-07,flax_seed,139
1865-07,hides,90
1865-07,meat_beeves,166
1865-07,meat_sheep,109
1865-07,meat_pork,163
1865-07,oats,165
1865-07,rye,86
1865-07,timothy_seed,158
1865-07,tobacco,195
1865-07,wheat,104
1865-10,barley,145
1865-10,clover_seed,219
1865-10,corn,126
1865-10,flax_seed,218
1865-10,hides,123
1865-10,meat_beeves,193
1865-10,meat_sheep,138
1865-10,meat_pork,240
1865-10,oats,128
