# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table4_retail_prices.csv by analysis/03_build_tidy.py. Do not edit.
commodity,unit,state,town,initial_price,year,relative_price
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1861,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1862,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1863,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1864,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1865,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Jeffersonville,.08 1/3,1866,300
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1861,100
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1862,200
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1863,360
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1864,720
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1865,600
"Dry goods: cotton flannel, medium quality",per yard,Ind,Lawrenceburg,.125,1866,600
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1861,125
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1862,250
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1863,400
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1864,500
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1865,400
"Dry goods: cotton flannel, medium quality",per yard,Ind,New Albany,.10,1866,300
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1860,100
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1861,120
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1862,200
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1863,320
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1864,520
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1865,720
"Dry goods: cotton flannel, medium quality",per yard,Ill,Bloomington,.125,1866,520
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1860,100
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1861,100
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1862,91
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1863,91
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1864,100
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1865,115
Dry goods: mousselines de laine,per yard,Mass,Woburn,0.33,1866,106
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1860,100
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1861,88
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1862,100
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1863,150
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1864,250
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1865,268
Dry goods: mousselines de laine,per yard,Conn,Jewett City,.25,1866,268
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1860,100
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1861,100
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1862,120
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1863,140
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1864,180
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1865,160
Dry goods: mousselines de laine,per yard,Pa,New Castle,.25,1866,140
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1860,100
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1861,200
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1862,267
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1863,400
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1864,467
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1865,467
Dry goods: mousselines de laine,per yard,W. Va,New Cumberland,.15,1866,267
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1860,100
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1861,124
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1862,150
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1863,160
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1864,240
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1865,200
Dry goods: mousselines de laine,per yard,W. Va,Wheeling,.25,1866,150
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1860,100
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1861,100
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1862,120
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1863,160
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1864,200
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1865,150
Dry goods: mousselines de laine,per yard,Ohio,Canton,.25,1866,120
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1860,100
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1861,100
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1862,100
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1863,150
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1864,160
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1865,160
Dry goods: mousselines de laine,per yard,Ohio,Cincinnati,.25,1866,160
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1860,100
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1861,233
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1862,267
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1863,300
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1864,467
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1865,267
Dry goods: mousselines de laine,per yard,Ohio,Zanesville,.15,1866,233
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1860,100
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1861,125
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1862,175
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1863,250
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1864,250
Dry goods: mousselines de laine,per yard,Ind,Evansville,.20,1865,250
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1860,100
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1861,175
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1862,175
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1863,175
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1864,175
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1865,175
Dry goods: mousselines de laine,per yard,Ind,Jeffersonville,.20,1866,175
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1860,100
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1861,100
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1862,140
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1863,160
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1864,260
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1865,180
Dry goods: mousselines de laine,per yard,Ind,Lawrenceburg,.25,1866,160
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1860,100
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1861,111
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1862,167
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1863,194
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1864,222
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1865,167
Dry goods: mousselines de laine,per yard,Ind,New Albany,.18,1866,139
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1860,100
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1861,100
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1862,100
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1863,140
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1864,140
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1865,160
Dry goods: mousselines de laine,per yard,Ill,Bloomington,.25,1866,120
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1860,100
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1861,115
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1862,154
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1863,154
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1864,154
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1865,246
"Dry goods: prints, Merrimack",per yard,Mass,Woburn,0.13,1866,192
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1861,100
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1862,112
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1863,176
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1864,240
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1865,300
"Dry goods: prints, Merrimack",per yard,Conn,Jewett City,.125,1866,264
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1861,100
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1862,144
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1863,200
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1864,300
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1865,280
"Dry goods: prints, Merrimack",per yard,Pa,New Castle,.125,1866,200
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1860,100
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1861,222
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1862,278
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1863,444
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1864,556
