# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
#
# DERIVED from ../mitchell_appendix_b_table4_retail_prices.csv by analysis/03_build_tidy.py. Do not edit.
commodity,unit,state,town,initial_price,year,relative_price
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1865,556
"Dry goods: prints, Merrimack",per yard,W. Va,New Cumberland,.09,1866,333
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1860,100
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1861,120
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1862,200
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1863,240
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1864,400
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1865,320
"Dry goods: prints, Merrimack",per yard,W. Va,Wheeling,.125,1866,240
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1861,80
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1862,144
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1863,240
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1864,400
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1865,320
"Dry goods: prints, Merrimack",per yard,Ohio,Canton,.125,1866,240
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1861,80
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1862,100
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1863,120
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1864,240
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1865,300
"Dry goods: prints, Merrimack",per yard,Ohio,Cincinnati,.125,1866,360
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1861,96
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1862,120
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1863,176
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1864,320
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1865,240
"Dry goods: prints, Merrimack",per yard,Ohio,Zanesville,.125,1866,200
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1860,100
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1861,100
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1862,150
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1863,250
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1864,500
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1865,450
"Dry goods: prints, Merrimack",per yard,Ind,Evansville,.10,1866,300
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1861,100
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1862,100
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1863,100
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1864,100
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1865,120
"Dry goods: prints, Merrimack",per yard,Ind,Jeffersonville,.125,1866,200
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1861,100
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1862,160
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1863,240
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1864,480
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1865,280
"Dry goods: prints, Merrimack",per yard,Ind,Lawrenceburg,.125,1866,200
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1860,100
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1861,105
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1862,200
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1863,300
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1864,400
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1865,250
"Dry goods: prints, Merrimack",per yard,Ind,New Albany,.10,1866,200
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1860,100
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1861,100
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1862,200
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1863,240
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1864,360
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1865,440
"Dry goods: prints, Merrimack",per yard,Ill,Bloomington,.125,1866,320
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1860,100
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1861,100
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1862,133
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1863,166
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1864,177
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1865,177
"Dry goods: satinets, medium quality",per yard,Conn,Jewett City,0.75,1866,173
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1860,100
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1861,100
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1862,125
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1863,138
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1864,150
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1865,140
"Dry goods: satinets, medium quality",per yard,Pa,New Castle,1.00,1866,150
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1860,100
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1861,227
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1862,364
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1863,455
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1864,545
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1865,545
"Dry goods: satinets, medium quality",per yard,W. Va,New Cumberland,0.11,1866,273
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1860,100
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1861,133
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1862,167
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1863,167
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1864,200
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1865,200
"Dry goods: satinets, medium quality",per yard,W. Va,Wheeling,.75,1866,167
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,1860,100
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,1861,100
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,1862,133
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,1863,167
"Dry goods: satinets, medium quality",per yard,Ohio,Canton,.75,1864,200
