# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 5: "Comparison of the Relative Prices of Twenty-Three Commodities
# at Wholesale and at Retail"
# Page 469. Relative prices (index, 1860 = 100).
#
# number_of_price_series is Mitchell's "Number of Price Series" column: how many
# underlying series the relative price averages over. The averages at the foot of the
# table print ".." there, recorded as blank.
#
# Blank cells are printed as "...." in the source. Note that the wholesale and retail
# rows for a pair are not always the same commodity: Mitchell compares Sugar: Havana
# brown at wholesale with Sugar: good brown at retail, and similarly for mackerel and
# for three of the pork series. The item names are kept exactly as printed.
#
# Re-transcribed 17 September 2026 from the page image, replacing a version that was
# wrong from the first row and whose number_of_price_series column was shifted by one
# row. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table5_wholesale_vs_retail.csv by analysis/03_build_tidy.py. Do not edit.
commodity,channel,number_of_price_series,year,relative_price
Sugar: good brown,retail,11,1862,123
Sugar: good brown,retail,11,1863,151
Sugar: good brown,retail,11,1864,213
Sugar: good brown,retail,11,1865,201
Sugar: good brown,retail,11,1866,212
Molasses: N. O. prime,wholesale,1,1860,100
Molasses: N. O. prime,wholesale,1,1861,83
Molasses: N. O. prime,wholesale,1,1862,99
Molasses: N. O. prime,wholesale,1,1863,112
Molasses: N. O. prime,wholesale,1,1864,219
Molasses: N. O. prime,wholesale,1,1865,251
Molasses: N. O. prime,wholesale,1,1866,236
Molasses: N. O. prime,retail,6,1860,100
Molasses: N. O. prime,retail,6,1861,104
Molasses: N. O. prime,retail,6,1862,144
Molasses: N. O. prime,retail,6,1863,192
Molasses: N. O. prime,retail,6,1864,238
Molasses: N. O. prime,retail,6,1865,235
Molasses: N. O. prime,retail,6,1866,235
"Molasses: Porto Rico, best",wholesale,1,1860,100
"Molasses: Porto Rico, best",wholesale,1,1861,89
"Molasses: Porto Rico, best",wholesale,1,1862,105
"Molasses: Porto Rico, best",wholesale,1,1863,133
"Molasses: Porto Rico, best",wholesale,1,1864,220
"Molasses: Porto Rico, best",wholesale,1,1865,220
"Molasses: Porto Rico, best",wholesale,1,1866,185
"Molasses: Porto Rico, best",retail,9,1860,100
"Molasses: Porto Rico, best",retail,9,1861,114
"Molasses: Porto Rico, best",retail,9,1862,132
"Molasses: Porto Rico, best",retail,9,1863,192
"Molasses: Porto Rico, best",retail,9,1864,242
"Molasses: Porto Rico, best",retail,9,1865,227
"Molasses: Porto Rico, best",retail,9,1866,220
Starch: ordinary laundry,wholesale,1,1860,100
Starch: ordinary laundry,wholesale,1,1861,92
Starch: ordinary laundry,wholesale,1,1862,92
Starch: ordinary laundry,wholesale,1,1863,115
Starch: ordinary laundry,wholesale,1,1864,169
Starch: ordinary laundry,wholesale,1,1865,169
Starch: ordinary laundry,wholesale,1,1866,154
Starch: ordinary laundry,retail,7,1860,100
Starch: ordinary laundry,retail,7,1861,103
Starch: ordinary laundry,retail,7,1862,115
Starch: ordinary laundry,retail,7,1863,140
Starch: ordinary laundry,retail,7,1864,165
Starch: ordinary laundry,retail,7,1865,184
Starch: ordinary laundry,retail,7,1866,180
Butter,wholesale,1,1860,100
Butter,wholesale,1,1861,82
Butter,wholesale,1,1862,99
Butter,wholesale,1,1863,124
Butter,wholesale,1,1864,206
Butter,wholesale,1,1865,209
Butter,wholesale,1,1866,237
Butter,retail,9,1860,100
Butter,retail,9,1861,93
Butter,retail,9,1862,110
Butter,retail,9,1863,129
Butter,retail,9,1864,188
Butter,retail,9,1865,218
Butter,retail,9,1866,215
Cheese,wholesale,1,1860,100
Cheese,wholesale,1,1861,81
Cheese,wholesale,1,1862,75
Cheese,wholesale,1,1863,125
Cheese,wholesale,1,1864,173
Cheese,wholesale,1,1865,184
Cheese,wholesale,1,1866,190
Cheese,retail,9,1860,100
Cheese,retail,9,1861,90
Cheese,retail,9,1862,97
Cheese,retail,9,1863,113
Cheese,retail,9,1864,153
Cheese,retail,9,1865,175
Cheese,retail,9,1866,180
Eggs,wholesale,1,1860,100
Eggs,wholesale,1,1861,83
Eggs,wholesale,1,1862,90
Eggs,wholesale,1,1863,119
Eggs,wholesale,1,1864,150
Eggs,wholesale,1,1865,168
Eggs,wholesale,1,1866,163
Eggs,retail,9,1860,100
Eggs,retail,9,1861,92
Eggs,retail,9,1862,103
Eggs,retail,9,1863,122
Eggs,retail,9,1864,133
Eggs,retail,9,1865,167
Eggs,retail,9,1866,163
"Mackerel: salt, shore, No. 1",wholesale,1,1860,100
"Mackerel: salt, shore, No. 1",wholesale,1,1861,53
"Mackerel: salt, shore, No. 1",wholesale,1,1862,52
"Mackerel: salt, shore, No. 1",wholesale,1,1863,88
"Mackerel: salt, shore, No. 1",wholesale,1,1864,188
"Mackerel: salt, shore, No. 1",wholesale,1,1865,138
"Mackerel: salt, shore, No. 1",wholesale,1,1866,142
"Mackerel: pickled, No. 1",retail,7,1860,100
"Mackerel: pickled, No. 1",retail,7,1861,93
"Mackerel: pickled, No. 1",retail,7,1862,111
"Mackerel: pickled, No. 1",retail,7,1863,125
"Mackerel: pickled, No. 1",retail,7,1864,153
"Mackerel: pickled, No. 1",retail,7,1865,149
"Mackerel: pickled, No. 1",retail,7,1866,152
Beef,wholesale,3,1860,100
Beef,wholesale,3,1861,95
Beef,wholesale,3,1862,98
Beef,wholesale,3,1863,107
Beef,wholesale,3,1864,146
Beef,wholesale,3,1865,184
Beef,wholesale,3,1866,191
Beef,retail,35,1860,100
Beef,retail,35,1861,108
Beef,retail,35,1862,112
Beef,retail,35,1863,129
Beef,retail,35,1864,158
Beef,retail,35,1865,167
Beef,retail,35,1866,167
Mutton,wholesale,1,1860,100
Mutton,wholesale,1,1861,98
Mutton,wholesale,1,1862,93
Mutton,wholesale,1,1863,112
Mutton,wholesale,1,1864,136
Mutton,wholesale,1,1865,171
Mutton,wholesale,1,1866,160
Mutton,retail,17,1860,100
Mutton,retail,17,1861,109
Mutton,retail,17,1862,111
Mutton,retail,17,1863,122
Mutton,retail,17,1864,135
Mutton,retail,17,1865,158
Mutton,retail,17,1866,158
"Pork: hams, sugar-cured",wholesale,1,1860,100
"Pork: hams, sugar-cured",wholesale,1,1861,80
"Pork: hams, sugar-cured",wholesale,1,1862,107
"Pork: hams, sugar-cured",wholesale,1,1863,195
"Pork: hams, sugar-cured",wholesale,1,1864,257
"Pork: hams, sugar-cured",wholesale,1,1865,288
"Pork: hams, sugar-cured",wholesale,1,1866,298
"Pork: hams, smoked",retail,9,1860,100
"Pork: hams, smoked",retail,9,1861,104
"Pork: hams, smoked",retail,9,1862,107
"Pork: hams, smoked",retail,9,1863,119
"Pork: hams, smoked",retail,9,1864,154
"Pork: hams, smoked",retail,9,1865,185
"Pork: hams, smoked",retail,9,1866,182
"Pork: bacon, clear",wholesale,1,1860,100
"Pork: bacon, clear",wholesale,1,1861,64
"Pork: bacon, clear",wholesale,1,1862,56
"Pork: bacon, clear",wholesale,1,1863,60
"Pork: bacon, clear",wholesale,1,1864,119
"Pork: bacon, clear",wholesale,1,1865,170
"Pork: bacon, clear",wholesale,1,1866,185
"Pork: bacon, clear",retail,7,1860,100
"Pork: bacon, clear",retail,7,1861,104
"Pork: bacon, clear",retail,7,1862,116
"Pork: bacon, clear",retail,7,1863,139
"Pork: bacon, clear",retail,7,1864,179
"Pork: bacon, clear",retail,7,1865,178
"Pork: bacon, clear",retail,7,1866,138
Pork: salt mess,wholesale,1,1860,100
Pork: salt mess,wholesale,1,1861,92
Pork: salt mess,wholesale,1,1862,66
Pork: salt mess,wholesale,1,1863,82
Pork: salt mess,wholesale,1,1864,182
Pork: salt mess,wholesale,1,1865,173
Pork: salt mess,wholesale,1,1866,172
Pork: corned or salted,retail,6,1860,100
Pork: corned or salted,retail,6,1861,114
Pork: corned or salted,retail,6,1862,116
Pork: corned or salted,retail,6,1863,127
Pork: corned or salted,retail,6,1864,164
Pork: corned or salted,retail,6,1865,191
Pork: corned or salted,retail,6,1866,197
Lard,wholesale,2,1860,100
Lard,wholesale,2,1861,81
Lard,wholesale,2,1862,69
Lard,wholesale,2,1863,89
Lard,wholesale,2,1864,131
Lard,wholesale,2,1865,179
Lard,wholesale,2,1866,172
Lard,retail,9,1860,100
Lard,retail,9,1861,100
Lard,retail,9,1862,106
Lard,retail,9,1863,118
Lard,retail,9,1864,146
Lard,retail,9,1865,169
Lard,retail,9,1866,167
"Coal: anthracite, stove",wholesale,1,1860,100
"Coal: anthracite, stove",wholesale,1,1861,101
"Coal: anthracite, stove",wholesale,1,1862,94
"Coal: anthracite, stove",wholesale,1,1863,154
"Coal: anthracite, stove",wholesale,1,1864,242
"Coal: anthracite, stove",wholesale,1,1865,232
"Coal: anthracite, stove",wholesale,1,1866,246
