year,commodity,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1787,Tobacco,40.0,40.0,40.0,40.0,41.2,40.0,37.5,40.0,42.0,42.0,42.0,42.0
1788,Tobacco,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,35.0,35.0
1789,Tobacco,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,32.5,32.5,32.5
1770,Turpentine,15.0,15.0,15.0,12.0,12.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0
1771,Turpentine,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,14.7,14.0
1772,Turpentine,0,15.0,16.0,16.0,16.0,16.0,17.8,18.0,17.7,17.5,17.5,17.8
1773,Turpentine,17.5,18.0,17.3,17.5,20.0,19.0,17.0,17.2,18.0,20.0,20.0,18.0
1774,Turpentine,18.0,20.0,20.0,20.0,18.0,18.0,18.4,18.8,19.2,19.6,20.0,20.0
1784,Turpentine,30.7,30.0,30.0,30.0,32.5,30.2,28.0,28.0,30.0,30.0,30.0,27.0
1785,Turpentine,27.5,27.0,27.0,26.0,25.0,18.0,17.5,17.5,19.0,18.0,18.0,18.0
1786,Turpentine,17.5,17.5,17.5,17.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
1787,Turpentine,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0
1788,Turpentine,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.5,12.5,13.8
1789,Turpentine,13.8,13.8,13.8,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,17.5
1771,Wheat,6.33,6.13,6.75,6.88,7.00,7.20,7.00,6.38,6.67,7.00,7.06,7.00
1772,Wheat,7.50,7.75,7.69,7.60,7.88,8.02,8.04,7.92,8.00,7.83,7.53,7.17
1773,Wheat,7.50,7.50,7.95,8.00,7.63,7.00,7.17,7.29,7.50,7.33,7.06,7.13
1774,Wheat,7.50,7.50,7.50,7.58,7.75,7.00,7.00,6.50,6.75,5.75,6.50,6.83
1775,Wheat,6.75,7.00,6.38,6.00,5.75,5.69,5.88,5.56,4.88,4.50,4.75,4.75
1776,Wheat,4.50,5.00,4.92,4.67,4.06,4.26,4.00,4.12,5.50,5.50,5.92,7.47
1777,Wheat,8.00,7.50,7.83,7.66,7.50,7.50,7.50,7.50,7.50,10.0,12.0,12.0
1778,Wheat,0.60,0.60,0.60,0.60,0.60,0.60,0.64,0.75,0.90,1.25,1.58,1.84
1779,Wheat,2.07,2.25,4.25,4.75,7.50,6.00,6.00,9.00,7.00,7.50,15.0,18.8
1780,Wheat,18.8,19.0,20.0,20.0,23.6,23.1,23.0,24.5,36.0,26.2,28.2,29.9
1782,Wheat,6.25,6.25,7.00,6.25,6.25,6.25,8.17,6.25,6.25,7.50,6.00,6.00
1783,Wheat,6.00,6.25,6.13,5.39,7.69,8.00,8.32,6.73,6.98,6.83,6.78,6.39
1784,Wheat,6.50,6.75,6.50,6.86,7.05,6.81,7.76,8.00,8.00,8.00,8.50,8.75
1785,Wheat,8.42,8.50,8.50,8.00,8.00,8.00,7.96,7.25,7.38,7.75,7.88,7.92
1786,Wheat,7.75,7.50,7.50,6.88,6.88,7.75,8.00,7.25,7.88,7.13,7.25,7.50
1787,Wheat,7.50,7.50,7.25,6.75,6.75,8.25,7.25,6.50,5.75,5.75,5.75,5.25
1788,Wheat,5.25,5.25,6.00,6.00,6.75,6.75,6.25,5.50,5.50,6.00,5.88,6.13
1789,Wheat,6.00,5.75,5.75,6.25,7.13,7.25,7.50,6.75,6.75,7.50,7.50,8.42
1790,Wheat,9.00,10.2,11.3,12.8,13.2,11.2,10.2,9.50,8.25,8.00,8.75,8.42
1770,Wine,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1771,Wine,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
1772,Wine,50.0,50.0,50.0,50.0,50.0,50.0,50.8,60.0,60.0,57.5,60.0,60.0
1773,Wine,60.0,55.0,57.5,55.0,55.0,55.0,55.0,55.0,55.0,62.5,62.5,53.5
1774,Wine,56.0,53.5,53.5,53.5,62.5,56.0,48.0,50.2,52.5,56.2,60.0,60.0
1784,Wine,56.0,62.5,66.0,68.8,75.0,61.9,67.5,67.5,65.0,65.0,70.0,70.0
1785,Wine,70.0,70.0,80.0,80.0,70.0,70.0,65.0,65.0,60.0,60.0,60.0,60.0
1786,Wine,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1787,Wine,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1788,Wine,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
1789,Wine,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
