# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, base=100).
# Initial prices are in the units specified in the original table (per yard, per lb, per gallon, etc.)
category,item,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866
Provisions,Flour (Rye),Iowa,Cedar Rapids,2.00,100,100,125,250,350,375,375
Provisions,"Flour (Wheat, superfine)",Conn.,Jewett City,6.50,100,85,97,107,137,157,173
Provisions,"Flour (Wheat, superfine)",Pa.,Philadelphia,6.50,100,100,115,138,185,192,192
Provisions,"Flour (Wheat, superfine)",Md.,Baltimore,6.00,100,104,129,125,175,167,188
Provisions,"Flour (Wheat, superfine)",W. Va.,New Cumberland,4.50,100,133,156,167,167,167,156
Provisions,"Flour (Wheat, superfine)",Ohio,Canton,5.75,,100,96,104,113,148,122
Provisions,"Flour (Wheat, superfine)",Ohio,Springfield,4.00,100,125,113,131,200,250,200
Provisions,"Flour (Wheat, superfine)",Ohio,Zanesville,5.25,100,114,114,181,200,200,320
Provisions,"Flour (Wheat, superfine)",Iowa,Cedar Rapids,3.00,100,108,207,297,300,300,300
Provisions,"Flour (Wheat, extra family)",Conn.,Jewett City,8.50,100,91,94,100,124,135,176
Provisions,"Flour (Wheat, extra family)",Pa.,Philadelphia,8.00,100,100,113,120,188,200,200
Provisions,"Flour (Wheat, extra family)",Md.,Baltimore,8.25,,100,115,121,161,167,206
Provisions,"Flour (Wheat, extra family)",W. Va.,New Cumberland,6.00,100,125,133,142,142,147,142
Provisions,"Flour (Wheat, extra family)",Ohio,Canton,6.00,100,108,117,167,167,123
Provisions,"Flour (Wheat, extra family)",Ohio,Springfield,4.50,100,100,111,111,189,244,289
Provisions,"Flour (Wheat, extra family)",Ohio,Zanesville,4.75,100,165,179,190,200,330
Provisions,"Flour (Wheat, extra family)",Iowa,Cedar Rapids,2.50,100,100,120,200,200,330,330
Provisions,Lard,Mass.,Boston,0.125,100,85,77,88,119,109,169
Provisions,Lard,Conn.,Jewett City,0.14,100,93,88,89,157,200,170
Provisions,Lard,Conn.,New London,0.12,100,117,117,117,117,117,123
Provisions,Lard,Pa.,Philadelphia,0.30,100,100,105,105,140,180,190
Provisions,Lard,W. Va.,New Cumberland,0.10,100,120,140,100,100,140,150
Provisions,Lard,Ohio,Canton,0.09,100,100,67,89,133,222,222
Provisions,Lard,Ohio,Springfield,0.07,100,114,114,114,143,143,143
Provisions,Lard,Ohio,Zanesville,0.10,100,100,120,180,200,233,230
Provisions,Lard,Ind.,Lawrenceburg,0.15,100,100,100,100,100,100,100
Provisions,Mutton (Chops),Conn.,New London,0.16,100,100,100,100,100,113,113
Provisions,Mutton (Chops),Pa.,Philadelphia,0.10,100,100,119,140,180,180
Provisions,Mutton (Chops),N.J.,Camden,0.12,100,117,117,125,150,208,208
Provisions,Mutton (Chops),W. Va.,New Cumberland,0.08,100,100,150,150,150,150,150
Provisions,Mutton (Chops),Ohio,Zanesville,0.10,100,70,70,80,80,100,100
Provisions,Mutton (Leg),Conn.,New London,0.16,100,100,100,100,100,113,113
Provisions,Mutton (Leg),N.J.,Camden,0.09,100,111,133,133,178,244,244
Provisions,Mutton (Leg),Pa.,Philadelphia,0.10,100,100,110,120,140,150,150
Provisions,Mutton (Leg),W. Va.,New Cumberland,0.04,100,100,150,150,150,150,150
Provisions,Mutton (Leg),Ohio,Zanesville,0.07,100,86,86,100,100,114,129
Provisions,Milk,Pa.,Philadelphia,0.04,,100,100,117,117,167,167
Provisions,Milk,W. Va.,New Cumberland,0.04,100,133,167,200,297,200,200
Provisions,Milk,Ohio,Canton,0.03,100,100,100,100,100,100,100
Provisions,Milk,Ohio,Springfield,0.05,100,120,120,160,160,100,100
Provisions,Milk,Ohio,Zanesville,0.08,100,100,100,133,133,133,167
Provisions,Milk,Ind.,Lawrenceburg,0.07,100,100,114,143,143,143,143
Provisions,Milk,Iowa,Cedar Rapids,0.04,,100,125,125,150,150,150
Provisions,Mackerel (Pickled),Conn.,Jewett City,0.09,100,78,89,122,111,111
Provisions,Mackerel (Pickled),Pa.,Philadelphia,0.08,100,113,125,175,200,225
Provisions,Mackerel (Pickled),W. Va.,New Cumberland,0.04,100,150,200,200,200,200,200
Provisions,Mackerel (Pickled),Ohio,Canton,0.09,100,75,100,125,125,125
Provisions,Mackerel (Pickled),Ohio,Zanesville,0.10,100,50,60,70,80,100,100
Provisions,Mackerel (Pickled),Ind.,Lawrenceburg,0.08,100,100,100,125,188,125,125
Provisions,Mackerel (Pickled),Iowa,Cedar Rapids,0.07,,100,114,143,129,179,170
Provisions,Mutton (Forequarters),Mass.,Boston,0.095,100,95,61,88,117,124,112
Provisions,Mutton (Forequarters),Conn.,New London,0.10,100,130,130,140,130,130
Provisions,Mutton (Forequarters),N.J.,Camden,0.07,100,100,114,163,157,171,171
Provisions,Mutton (Forequarters),Pa.,Philadelphia,0.06,100,100,120,120,160,240,240
Provisions,Mutton (Forequarters),W. Va.,New Cumberland,0.05,100,140,140,120,140,140,140
Provisions,Mutton (Forequarters),Ohio,Canton,0.05,100,100,100,100,120,140,140
Provisions,Mutton (Forequarters),Ohio,Zanesville,0.05,100,100,130,130,140,140,140
Provisions,Mutton (Forequarters),Ind.,Evansville,0.075,,100,100,167,200,200,200
Provisions,Pork (Bacon),Conn.,New London,0.12,100,117,117,117,117,117,133
Provisions,Pork (Bacon),Pa.,Philadelphia,0.09,100,100,100,111,133,200,200
Provisions,Pork (Bacon),W. Va.,New Cumberland,0.08,100,125,150,150,175,175,150
Provisions,Pork (Bacon),Ohio,Canton,0.08,,100,133,250,383,200
Provisions,Pork (Bacon),Ohio,Springfield,0.065,100,100,100,108,218,218,218
Provisions,Pork (Bacon),Ohio,Zanesville,0.10,100,100,120,140,180,200,200
Provisions,Pork (Bacon),Ind.,Lawrenceburg,0.18,100,78,83,94,97,83,67
Provisions,"Pork (Corned or Salted)",Mass.,Boston,0.105,100,95,89,93,129,219,183
Provisions,"Pork (Corned or Salted)",Conn.,Jewett City,0.125,100,100,80,96,176,200,192
Provisions,"Pork (Corned or Salted)",Conn.,New London,0.11,100,100,100,100,100,157
Provisions,"Pork (Corned or Salted)",Pa.,Philadelphia,0.09,100,100,100,111,133,200,230
Provisions,"Pork (Corned or Salted)",W. Va.,New Cumberland,0.06,100,117,131,133,133,150,150
Provisions,"Pork (Corned or Salted)",Ohio,Zanesville,0.11,100,100,100,182,291,327,327
Provisions,Pork (Fresh),Mass.,Boston,0.0675,100,87,85,92,128,185,155
Provisions,Pork (Fresh),Conn.,New London,0.11,100,109,109,109,100,127
Provisions,Pork (Fresh),Pa.,Philadelphia,0.10,100,100,120,100,200,200
Provisions,Pork (Fresh),W. Va.,New Cumberland,0.04,100,125,150,150,150,150,200
Provisions,Pork (Fresh),Ohio,Canton,0.015,100,133,133,178,278,278,333
Provisions,Pork (Fresh),Ohio,Zanesville,0.06,100,100,150,167,300,248,300
Provisions,"Pork (Hams, smoked)",Mass.,Boston,0.115,100,93,84,97,154,197,182
Provisions,"Pork (Hams, smoked)",Conn.,Jewett City,0.13,100,96,77,96,150,192,192
Provisions,"Pork (Hams, smoked)",Conn.,New London,0.14,100,100,100,100,100,100,114
Provisions,"Pork (Hams, smoked)",Pa.,Philadelphia,0.10,,100,120,120,121,250,250
Provisions,"Pork (Hams, smoked)",W. Va.,New Cumberland,0.12,100,117,133,133,100,160,150
Provisions,"Pork (Hams, smoked)",Ohio,Canton,0.08,100,100,139,136,167,225,244
Provisions,"Pork (Hams, smoked)",Ohio,Springfield,0.075,100,100,107,107,200,200,200
Provisions,"Pork (Hams, smoked)",Ohio,Zanesville,0.11,100,109,136,164,182,227,227
Provisions,"Pork (Hams, smoked)",Ind.,Lawrenceburg,0.20,100,75,85,80,85,80,75
Provisions,Pork (Sausages),Mass.,Boston,0.1125,100,97,100,93,113,192,176
Provisions,Pork (Sausages),Conn.,New London,0.12,100,117,117,117,117,117,133
Provisions,Pork (Sausages),Pa.,Philadelphia,0.10,,100,100,120,170,200,230
Provisions,Pork (Sausages),W. Va.,New Cumberland,0.10,100,100,100,100,160,150,150
Provisions,Pork (Sausages),Ohio,Springfield,0.07,100,100,100,100,111,114,114
Provisions,Pork (Sausages),Ohio,Zanesville,0.085,100,118,111,176,212,225,225
Provisions,Pork (Shoulders),Conn.,New London,0.08,100,150,150,150,150,150,175
Provisions,Pork (Shoulders),Pa.,Philadelphia,0.07,100,100,100,114,143,214,229
Provisions,Pork (Shoulders),W. Va.,New Cumberland,0.07,100,143,171,171,171,200,200
Provisions,Pork (Shoulders),Ohio,Canton,0.06,100,133,133,167,250,200,208
Provisions,Pork (Shoulders),Ohio,Springfield,0.05,100,100,100,100,160,160,160
Provisions,Pork (Shoulders),Ohio,Zanesville,0.08,100,107,250,255,300,333,333
Provisions,Pork (Shoulders),Ind.,Lawrenceburg,0.13,100,100,115,115,123,123,92
Provisions,Veal (Cutlets),Conn.,New London,0.16,100,113,113,113,113,125,125
Provisions,Veal (Cutlets),N.J.,Camden,0.14,100,100,100,179,179,179
Provisions,Veal (Cutlets),Pa.,Philadelphia,0.15,100,100,107,129,167,167
Provisions,Veal (Cutlets),W. Va.,New Cumberland,0.10,100,120,80,80,120,130,120
Provisions,Veal (Cutlets),Ohio,Zanesville,0.10,100,100,100,100,100,100,120
Provisions,Veal (Cutlets),Ind.,Evansville,0.20,,100,100,167,125,125,125
Provisions,Veal (Fore Quarters),Mass.,Boston,0.095,100,98,63,77,126,153,151
Provisions,Veal (Fore Quarters),Conn.,New London,0.10,100,130,130,140,130,130
Provisions,Veal (Fore Quarters),Pa.,Philadelphia,0.06,100,100,117,150,200,200
Provisions,Veal (Fore Quarters),W. Va.,New Cumberland,0.04,100,150,150,150,150,150
Provisions,Veal (Fore Quarters),Ohio,Canton,0.05,100,100,133,200,233,267,267
Provisions,Veal (Fore Quarters),Ohio,Zanesville,0.05,100,100,130,130,140,180,180
Provisions,Veal (Fore Quarters),Ind.,Evansville,0.075,,100,100,167,200,200,200
Provisions,Veal (Hind Quarters),Conn.,New London,0.14,100,107,107,114,129,129
Provisions,Veal (Hind Quarters),N.J.,Camden,0.10,100,100,100,140,140,140
Provisions,Veal (Hind Quarters),Pa.,Philadelphia,0.10,100,100,100,120,150,150
Provisions,Veal (Hind Quarters),W. Va.,New Cumberland,0.05,100,100,125,200,100,250,250
Provisions,Veal (Hind Quarters),Ohio,Canton,0.04,100,100,125,200,313,133,133
Provisions,Veal (Hind Quarters),Ohio,Zanesville,0.08,100,100,100,117,133,188,188
Provisions,Veal (Hind Quarters),Ind.,Evansville,0.08,100,100,100,156,188,188,188
Provisions,Rice,Conn.,Jewett City,0.06,100,117,150,167,107,250,250
Provisions,Rice,Pa.,Philadelphia,0.08,100,113,125,163,175,175
Provisions,Rice,Md.,Baltimore,0.08,100,100,150,167,250,250,271
Provisions,Rice,W. Va.,New Cumberland,0.07,100,143,214,214,214,214,214
Provisions,Rice,Ohio,Canton,0.05,100,100,133,298,133,250,298
Provisions,Rice,Ohio,Springfield,0.06,100,100,125,125,125,125,125
Provisions,Rice,Ohio,Zanesville,0.0625,100,192,240,288,388,320,320
Provisions,Rice,Ind.,Lawrenceburg,0.10,100,100,150,200,200,120,120
Provisions,Rice,Iowa,Cedar Rapids,0.05,,100,100,200,200,250,270
Provisions,Potatoes,Mass.,Boston,0.925,100,81,94,93,153,117,117
Provisions,Potatoes,Conn.,Jewett City,0.50,100,90,110,100,180,100,120
Provisions,Potatoes,Pa.,Philadelphia,0.60,,100,100,125,133,100,200
Provisions,Potatoes,W. Va.,New Cumberland,0.35,100,143,214,214,214,214,214
Provisions,Potatoes,Ohio,Springfield,0.30,100,133,133,167,250,293,333
Provisions,Potatoes,Ohio,Zanesville,0.60,100,83,83,100,133,167,167
Provisions,Potatoes,Ind.,Lawrenceburg,0.80,100,94,125,160,94,188
Provisions,Potatoes,Iowa,Cedar Rapids,0.20,,100,175,200,200,200,350
Fuel,Oil,Conn.,Jewett City,1.00,100,75,75,92,100,90
Fuel,Oil,Conn.,New Haven,1.00,100,75,85,75,120,90
Fuel,Oil,N.Y.,Watertown,1.12,100,45,54,73,107,67
Fuel,Oil,Pa.,Norristown,0.50,100,100,100,171,171,143
Fuel,Oil,Pa.,Philadelphia,0.25,100,100,100,400,400,400,320
Fuel,Oil,W. Va.,New Cumberland,0.20,100,100,133,133,167,167,125
Fuel,Oil,Ohio,Canton,0.50,100,80,80,100,100,80
Fuel,Oil,Ohio,Zanesville,0.60,100,100,100,100,100,117
Fuel,Oil,Ill.,Rock Island,0.35,100,171,286,286,229,171,171
Fuel,Coal (Anthracite),Mass.,Boston (1),6.00,100,98,117,175,217,217,204
Fuel,Coal (Anthracite),Mass.,Boston (2),5.55,100,121,117,173,230,225,192
Fuel,Coal (Anthracite),Pa.,Philadelphia (1),5.00,100,100,100,120,130,100,100
Fuel,Coal (Anthracite),Pa.,Philadelphia (2),3.41,,100,100,123,186,281,218
Fuel,Coal (Anthracite),Pa.,Reading,2.50,100,100,100,180,231,292,250
Fuel,Coal (Anthracite),Ohio,Zanesville,3.00,100,100,153,167,167,167,167
Fuel,Coal (Bituminous),W. Va.,New Cumberland,1.40,100,171,179,214,214,196,196
Fuel,Coal (Bituminous),Ohio,Canton,2.00,100,88,100,175,150,150
Fuel,Coal (Bituminous),Ohio,Springfield,3.50,100,100,100,100,160,100
Fuel,Coal (Bituminous),Ohio,Zanesville,1.50,100,100,100,200,200
Fuel,Coal (Bituminous),Ind.,Lawrenceburg,3.50,100,93,114,114,129,114,107
Fuel,Coal (Bituminous),Ill.,Belleville,1.82,,100,,,,171,171
Fuel,Coal (Bituminous),Ill.,Rock Island,3.12,100,80,96,104,104,104
Fuel,Wood (Hard),Mass.,Boston (1),6.50,100,,150,169,200,200,231
Fuel,Wood (Hard),Mass.,Boston (2),6.50,100,125,183,164,162,185,228
Fuel,Wood (Hard),Conn.,Danielsonville,4.00,100,100,100,114,133,125
Fuel,Wood (Hard),Conn.,Jewett City,3.50,100,100,114,114,157,143
Fuel,Wood (Hard),Pa.,Reading,4.00,,100,100,125,125,120,150
Fuel,Wood (Hard),W. Va.,New Cumberland,1.75,100,100,114,143,143,143
Fuel,Wood (Hard),Ohio,Canton,2.50,100,80,100,130,180,167,167
Fuel,Wood (Hard),Ohio,Springfield,2.00,100,92,92,100,163,207,200
Fuel,Wood (Hard),Ohio,Zanesville,2.50,100,132,133,100,200,200
Fuel,Wood (Hard),Ind.,Lawrenceburg,4.00,100,100,138,150,150,125
Fuel,Wood (Hard),Ill.,Rock Island,4.50,100,89,133,144,133,133
Fuel,Wood (Hard),Iowa,Cedar Rapids,2.50,100,100,100,120,200,160,160
Fuel,Wood (Hard),Mo.,Pilot Knob,2.50,100,100,120,180,100,100,160
Fuel,Wood (Pine),Mass.,Boston (1),4.50,100,,153,178,233,211,287
Fuel,Wood (Pine),Mass.,Boston (2),4.50,100,133,134,185,233,217,267
Fuel,Wood (Pine),Conn.,Danielsonville,3.50,100,100,100,121,143,129
Fuel,Wood (Pine),W. Va.,New Cumberland,1.50,100,117,133,150,150,150,150
Fuel,Wood (Pine),Ohio,Zanesville,1.00,100,175,155,200,225,250,150
Fuel,Wood (Pine),Ill.,Rock Island,1.00,,100,150,200,200,150,150
Other,Men's Heavy Boots,Conn.,Ansonia,2.50,,100,120,140,130,100,100
Other,Men's Heavy Boots,Conn.,Jewett City,6.00,100,96,92,100,117,125,142
Other,Men's Heavy Boots,Conn.,Waterbury,3.25,,100,106,133,123,125,133
Other,Men's Heavy Boots,N.Y.,Homer,2.38,,100,100,143,163,200,163
Other,Men's Heavy Boots,N.J.,Camden,3.50,100,100,115,135,100,175
Other,Men's Heavy Boots,Pa.,Sharon,2.50,100,100,100,100,120,120,100
Other,Men's Heavy Boots,W. Va.,New Cumberland,3.00,100,100,123,171,200,200,167
Other,Men's Heavy Boots,W. Va.,Wheeling,4.00,100,100,113,150,120,200
Other,Men's Heavy Boots,Ohio,Canton,4.00,100,100,133,200,200,162,117
Other,Men's Heavy Boots,Ohio,Cincinnati,4.50,,100,87,80,100,112,117
Other,Men's Heavy Boots,Ohio,Batavia,3.25,,100,142,126,163,163,153
Other,Men's Heavy Boots,Ohio,Zanesville,3.50,100,100,114,143,163,125,143
Other,Men's Heavy Boots,Ind.,Aurora,3.50,100,100,100,100,150,150
Other,Men's Heavy Boots,Ind.,Evansville,4.00,,100,100,150,150,150
Other,Men's Heavy Boots,Ind.,Fort Wayne,4.00,,100,100,125,125,125,138
Other,Men's Heavy Boots,Ind.,LaFayette (1),4.00,,100,,100,125,125,125
Other,Men's Heavy Boots,Ind.,LaFayette (2),5.00,,100,,100,125,125,125
Other,Men's Heavy Boots,Ind.,New Albany (2),3.125,100,125,134,144,100,164,184
Other,Men's Heavy Boots,Ind.,Terre Haute,4.00,100,100,100,100,200,200,200
Other,Men's Heavy Boots,Ind.,Vincennes,3.00,100,100,150,200,367,233,217
Other,Men's Heavy Boots,Ill.,Belleville (1),3.00,100,100,100,111,131,111,117
Other,Men's Heavy Boots,Ill.,Belleville (2),2.50,100,100,100,,100,171
Other,Men's Heavy Boots,Ill.,Bloomington,2.50,,100,110,220,160,100,160
Other,Men's Heavy Boots,Ill.,Springfield,2.00,,100,88,113,125,100,200
Other,Men's Heavy Boots,Iowa,Cedar Rapids,3.50,100,100,157,142,125
Other,Men's Heavy Boots,Mo.,Pilot Knob,4.50,100,100,113,127,125
Other,Men's Heavy Boots,Mo.,St. Louis,4.00,100,100,100,133,133,150,150
Other,"Rent of Houses (4 rooms)",Mass.,Boston,5.00,100,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Conn.,Jewett City,2.00,100,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",N.J.,Camden,6.50,100,100,100,92,115,123,123
Other,"Rent of Houses (4 rooms)",Pa.,Philadelphia,6.00,,100,100,100,125,125,125
Other,"Rent of Houses (4 rooms)",W. Va.,New Cumberland,4.00,,100,100,125,138,138,125
Other,"Rent of Houses (4 rooms)",Ohio,Canton,6.25,100,80,80,96,100,100
Other,"Rent of Houses (4 rooms)",Ohio,Cincinnati,6.00,,100,67,80,100,100,88
Other,"Rent of Houses (4 rooms)",Ohio,Springfield,5.00,100,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Ohio,Zanesville,7.00,100,100,100,100,114,143,143
Other,"Rent of Houses (4 rooms)",Ky.,Louisville,5.00,100,100,131,114,114,236,143
Other,"Rent of Houses (4 rooms)",Ind.,Indianapolis,3.00,,100,100,100,133,133
Other,"Rent of Houses (4 rooms)",Ind.,LaFayette,7.00,,100,100,107,114,114
Other,"Rent of Houses (4 rooms)",Ind.,Lawrenceburg,7.00,,100,100,107,121,129,129
Other,"Rent of Houses (4 rooms)",Ind.,Terre Haute,8.00,,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Ill.,Belleville,4.00,,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Ill.,Rock Island,5.00,,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Iowa,Cedar Rapids,5.00,,100,120,120,130,84,80
Other,"Rent of Houses (4 rooms)",Mo.,Pilot Knob,10.00,100,100,100,100,100,100,100
Other,"Rent of Houses (4 rooms)",Mo.,St. Louis,10.00,100,100,100,100,136,136,150
Other,"Rent of Houses (6 rooms)",Mass.,Boston,9.00,100,100,100,100,100,125,125
Other,"Rent of Houses (7 rooms)",Mass.,Boston,10.00,100,100,100,100,100,125,125
Other,"Rent of Houses (6 rooms)",Conn.,Jewett City,3.00,100,100,100,100,100,100,100
Other,"Rent of Houses (6 rooms)",N.J.,Camden,6.00,100,100,100,100,133,200,225
Other,"Rent of Houses (6 rooms)",Pa.,Hokendauqua,5.42,,100,100,100,120,120,133
Other,"Rent of Houses (6 rooms)",Pa.,Philadelphia,5.00,,100,100,100,100,100,125
Other,"Rent of Houses (8 rooms)",W. Va.,New Cumberland,5.00,,100,100,141,123,123,133
Other,"Rent of Houses (6 rooms)",Ohio,Canton (1),14.00,,100,100,100,100,100
Other,"Rent of Houses (6 rooms)",Ohio,Canton (2),30.00,,100,100,100,100,100
Other,"Rent of Houses (8 rooms)",Ohio,Cincinnati,8.00,100,100,100,100,100,100,100
Other,"Rent of Houses (5 rooms)",Ohio,Zanesville,5.00,100,100,100,100,100,117,117
Other,"Rent of Houses (5 rooms)",Ky.,Louisville,8.00,,100,100,133,141,250,250
Other,"Rent of Houses (5 rooms)",Ind.,LaFayette,5.00,,100,100,130,130,150,160
Other,"Rent of Houses (6 rooms)",Ind.,Lawrenceburg,6.00,,100,100,100,100,130,130
Other,"Rent of Houses (6 rooms)",Ind.,Terre Haute,6.00,,100,100,100,100,100
Other,"Rent of Houses (6 rooms)",Ill.,Bloomington,10.00,,100,100,100,100,120,130
Other,"Rent of Houses (6 rooms)",Ill.,Rock Island,6.00,,100,100,100,100,100,100
Other,"Rent of Houses (6 rooms)",Iowa,Cedar Rapids,15.00,,100,100,100,100
Other,"Rent of Houses (6 rooms)",Mo.,St. Louis,15.00,,100,86,100,111,133,160
Other,"Board per week (Men)",Conn.,Jewett City,2.00,100,,100,100,120,150,117
Other,"Board per week (Men)",Pa.,Philadelphia,3.50,,100,100,100,117,117,125
Other,"Board per week (Men)",Pa.,Sharon,4.00,,100,103,103,103,100
Other,"Board per week (Men)",W. Va.,New Cumberland,2.50,100,100,100,100,100,167,167
Other,"Board per week (Men)",Ohio,Canton,1.75,100,100,100,100,129,129
Other,"Board per week (Men)",Ohio,Cincinnati,7.00,,100,100,100,100,100
Other,"Board per week (Men)",Ohio,Springfield,2.25,,100,133,156,156,156
Other,"Board per week (Men)",Ohio,Zanesville,3.00,,100,100,100,133,133,133
Other,"Board per week (Men)",Ky.,Louisville,4.00,100,,100,,100,100,100
Other,"Board per week (Men)",Ind.,Indianapolis,3.50,,100,,100,,100,100
Other,"Board per week (Men)",Ind.,Lawrenceburg,2.50,,100,100,114,114,114,114
Other,"Board per week (Men)",Ill.,Rock Island,3.50,,100,,100,,100
Other,"Board per week (Men)",Ill.,Cedar Rapids,3.00,,100,,100,,100
Other,"Board per week (Men)",Mo.,Pilot Knob,3.00,,100,117,133,150,150,117
Other,"Board per week (Women)",Conn.,Jewett City,1.50,100,100,100,100,133,133,167
Other,"Board per week (Women)",Pa.,Philadelphia,3.75,,100,100,100,100,133
Other,"Board per week (Women)",W. Va.,New Cumberland,1.25,,100,100,160,160,160
Other,"Board per week (Women)",Ohio,Canton,1.50,,100,100,100,100,100,100
Other,"Board per week (Women)",Ohio,Cincinnati,1.50,,100,100,100,100
Other,"Board per week (Women)",Ohio,Springfield,2.50,,100,100,100,100,100
Other,"Board per week (Women)",Ohio,Zanesville,3.00,,100,135,135,150,150
Other,"Board per week (Women)",Ky.,Louisville,3.00,,100,100,133,167
Other,"Board per week (Women)",Ind.,Indianapolis,3.00,,100,,100,133,133
Other,"Board per week (Women)",Ind.,Belleville,3.00,,100,,100,,100
Other,"Board per week (Women)",Iowa,Cedar Rapids,2.00,,100,,100,,100
Other,"Board per week (Women)",Mo.,Pilot Knob,3.00,,100,117,133,150,150,117
